Academic Year,District ID,District,School ID,School,Subject,Student Group,Grade Level,Number Proficient (Level 3 or 4),Percent Proficient (Level 3 or 4),Number Level 4,Percent Level 4,Number Level 3,Percent Level 3,Number Level 2,Percent Level 2,Number Level 1,Percent Level 1,Number of Participants,Participation Rate
2016-2017,1923,Lake Oswego SD 7J,58,Westridge Elementary School,English Language Arts,Extended Assessment,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1923,Lake Oswego SD 7J,58,Westridge Elementary School,English Language Arts,Female,All Grades,103,90.4,70,61.4,33,28.9,10,8.8,1,0.9,115,96.6
2016-2017,1923,Lake Oswego SD 7J,58,Westridge Elementary School,English Language Arts,Hispanic/Latino,All Grades,10,66.7,5,33.3,5,33.3,3,20.0,2,13.3,15,93.8
2016-2017,1923,Lake Oswego SD 7J,58,Westridge Elementary School,English Language Arts,American Indian/Alaskan Native,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1923,Lake Oswego SD 7J,58,Westridge Elementary School,English Language Arts,Indian Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1923,Lake Oswego SD 7J,58,Westridge Elementary School,English Language Arts,English Learners,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1923,Lake Oswego SD 7J,58,Westridge Elementary School,English Language Arts,Male,All Grades,98,72.6,60,44.4,38,28.1,29,21.5,8,5.9,135,95.7
2016-2017,1923,Lake Oswego SD 7J,58,Westridge Elementary School,English Language Arts,Migrant Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1923,Lake Oswego SD 7J,58,Westridge Elementary School,English Language Arts,Multi-Racial,All Grades,10,83.3,8,66.7,2,16.7,2,16.7,0,0.0,12,100.0
2016-2017,1923,Lake Oswego SD 7J,58,Westridge Elementary School,English Language Arts,Pacific Islander,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1923,Lake Oswego SD 7J,58,Westridge Elementary School,English Language Arts,SWD with Accommodations,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1923,Lake Oswego SD 7J,58,Westridge Elementary School,English Language Arts,Students with Disabilities (SWD),All Grades,21,72.4,12,41.4,9,31.0,7,24.1,1,3.4,29,82.9
2016-2017,1923,Lake Oswego SD 7J,58,Westridge Elementary School,English Language Arts,Talented and Gifted (TAG),All Grades,> 95.0%,> 95.0%,-,-,-,-,-,-,-,-,-,-
2016-2017,1923,Lake Oswego SD 7J,58,Westridge Elementary School,English Language Arts,Total Population (All Students),All Grades,201,80.7,130,52.2,71,28.5,39,15.7,9,3.6,250,96.2
2016-2017,1923,Lake Oswego SD 7J,58,Westridge Elementary School,English Language Arts,White,All Grades,167,81.1,107,51.9,60,29.1,33,16.0,6,2.9,207,96.3
2016-2017,2101,Lebanon Community SD 9,652,Cascades School,English Language Arts,Asian,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2101,Lebanon Community SD 9,652,Cascades School,English Language Arts,Black/African American,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2101,Lebanon Community SD 9,652,Cascades School,English Language Arts,Econo. Disadvantaged,All Grades,77,41.6,21,11.4,56,30.3,35,18.9,73,39.5,186,98.4
2016-2017,2101,Lebanon Community SD 9,652,Cascades School,English Language Arts,Extended Assessment,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2101,Lebanon Community SD 9,652,Cascades School,English Language Arts,Female,All Grades,42,56.0,13,17.3,29,38.7,12,16.0,21,28.0,76,98.7
2016-2017,2101,Lebanon Community SD 9,652,Cascades School,English Language Arts,Hispanic/Latino,All Grades,< 5.0%,< 5.0%,-,-,-,-,-,-,-,-,-,-
2016-2017,2101,Lebanon Community SD 9,652,Cascades School,English Language Arts,American Indian/Alaskan Native,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2101,Lebanon Community SD 9,652,Cascades School,English Language Arts,Indian Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2101,Lebanon Community SD 9,652,Cascades School,English Language Arts,English Learners,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2101,Lebanon Community SD 9,652,Cascades School,English Language Arts,Male,All Grades,35,31.8,8,7.3,27,24.5,23,20.9,52,47.3,110,98.2
2016-2017,2101,Lebanon Community SD 9,652,Cascades School,English Language Arts,Migrant Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2101,Lebanon Community SD 9,652,Cascades School,English Language Arts,Multi-Racial,All Grades,10,62.5,2,12.5,8,50.0,1,6.3,5,31.3,16,100.0
2016-2017,2101,Lebanon Community SD 9,652,Cascades School,English Language Arts,Pacific Islander,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2101,Lebanon Community SD 9,652,Cascades School,English Language Arts,SWD with Accommodations,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2101,Lebanon Community SD 9,652,Cascades School,English Language Arts,Students with Disabilities (SWD),All Grades,3,9.4,1,3.1,2,6.3,5,15.6,24,75.0,32,97.0
2016-2017,2101,Lebanon Community SD 9,652,Cascades School,English Language Arts,Talented and Gifted (TAG),All Grades,19,86.4,9,40.9,10,45.5,3,13.6,0,0.0,22,100.0
2016-2017,2101,Lebanon Community SD 9,652,Cascades School,English Language Arts,Total Population (All Students),All Grades,77,41.6,21,11.4,56,30.3,35,18.9,73,39.5,186,98.4
2016-2017,2101,Lebanon Community SD 9,652,Cascades School,English Language Arts,White,All Grades,67,42.7,19,12.1,48,30.6,32,20.4,58,36.9,158,98.1
2016-2017,2101,Lebanon Community SD 9,653,Green Acres School,English Language Arts,Asian,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2101,Lebanon Community SD 9,653,Green Acres School,English Language Arts,Black/African American,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2101,Lebanon Community SD 9,653,Green Acres School,English Language Arts,Econo. Disadvantaged,All Grades,52,32.7,18,11.3,34,21.4,41,25.8,66,41.5,159,98.1
2016-2017,2101,Lebanon Community SD 9,653,Green Acres School,English Language Arts,Extended Assessment,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2101,Lebanon Community SD 9,653,Green Acres School,English Language Arts,Female,All Grades,28,32.9,10,11.8,18,21.2,23,27.1,34,40.0,85,100.0
2016-2017,2101,Lebanon Community SD 9,653,Green Acres School,English Language Arts,Hispanic/Latino,All Grades,4,13.3,3,10.0,1,3.3,10,33.3,16,53.3,30,100.0
2016-2017,2101,Lebanon Community SD 9,653,Green Acres School,English Language Arts,American Indian/Alaskan Native,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2101,Lebanon Community SD 9,653,Green Acres School,English Language Arts,Indian Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2101,Lebanon Community SD 9,653,Green Acres School,English Language Arts,English Learners,All Grades,< 5.0%,< 5.0%,-,-,-,-,-,-,-,-,-,-
2016-2017,2101,Lebanon Community SD 9,653,Green Acres School,English Language Arts,Male,All Grades,24,32.4,8,10.8,16,21.6,18,24.3,32,43.2,74,96.1
2016-2017,2101,Lebanon Community SD 9,653,Green Acres School,English Language Arts,Migrant Education,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2101,Lebanon Community SD 9,653,Green Acres School,English Language Arts,Multi-Racial,All Grades,4,28.6,0,0.0,4,28.6,2,14.3,8,57.1,14,100.0
2016-2017,2101,Lebanon Community SD 9,653,Green Acres School,English Language Arts,Pacific Islander,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2101,Lebanon Community SD 9,653,Green Acres School,English Language Arts,SWD with Accommodations,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2101,Lebanon Community SD 9,653,Green Acres School,English Language Arts,Students with Disabilities (SWD),All Grades,4,16.0,2,8.0,2,8.0,3,12.0,18,72.0,25,96.2
2016-2017,2101,Lebanon Community SD 9,653,Green Acres School,English Language Arts,Talented and Gifted (TAG),All Grades,12,66.7,7,38.9,5,27.8,4,22.2,2,11.1,18,94.7
2016-2017,2101,Lebanon Community SD 9,653,Green Acres School,English Language Arts,Total Population (All Students),All Grades,52,32.7,18,11.3,34,21.4,41,25.8,66,41.5,159,98.1
2016-2017,2101,Lebanon Community SD 9,653,Green Acres School,English Language Arts,White,All Grades,44,38.6,15,13.2,29,25.4,29,25.4,41,36.0,114,98.3
2016-2017,2101,Lebanon Community SD 9,658,Hamilton Creek School,English Language Arts,Asian,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2101,Lebanon Community SD 9,658,Hamilton Creek School,English Language Arts,Black/African American,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2101,Lebanon Community SD 9,658,Hamilton Creek School,English Language Arts,Econo. Disadvantaged,All Grades,41,41.4,7,7.1,34,34.3,29,29.3,29,29.3,99,96.1
2016-2017,2101,Lebanon Community SD 9,658,Hamilton Creek School,English Language Arts,Extended Assessment,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2101,Lebanon Community SD 9,658,Hamilton Creek School,English Language Arts,Female,All Grades,50,58.8,11,12.9,39,45.9,23,27.1,12,14.1,85,96.6
2016-2017,2101,Lebanon Community SD 9,658,Hamilton Creek School,English Language Arts,Hispanic/Latino,All Grades,7,50.0,0,0.0,7,50.0,4,28.6,3,21.4,14,100.0
2016-2017,2101,Lebanon Community SD 9,658,Hamilton Creek School,English Language Arts,American Indian/Alaskan Native,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2101,Lebanon Community SD 9,658,Hamilton Creek School,English Language Arts,Indian Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2101,Lebanon Community SD 9,658,Hamilton Creek School,English Language Arts,English Learners,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2101,Lebanon Community SD 9,658,Hamilton Creek School,English Language Arts,Male,All Grades,30,34.5,7,8.0,23,26.4,34,39.1,23,26.4,87,97.8
2016-2017,2101,Lebanon Community SD 9,658,Hamilton Creek School,English Language Arts,Migrant Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2101,Lebanon Community SD 9,658,Hamilton Creek School,English Language Arts,Multi-Racial,All Grades,2,33.3,2,33.3,0,0.0,4,66.7,0,0.0,6,100.0
2016-2017,2101,Lebanon Community SD 9,658,Hamilton Creek School,English Language Arts,Pacific Islander,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2101,Lebanon Community SD 9,658,Hamilton Creek School,English Language Arts,SWD with Accommodations,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2101,Lebanon Community SD 9,658,Hamilton Creek School,English Language Arts,Students with Disabilities (SWD),All Grades,2,9.1,0,0.0,2,9.1,10,45.5,10,45.5,22,84.6
2016-2017,2101,Lebanon Community SD 9,658,Hamilton Creek School,English Language Arts,Talented and Gifted (TAG),All Grades,6,75.0,2,25.0,4,50.0,2,25.0,0,0.0,8,100.0
2016-2017,2101,Lebanon Community SD 9,658,Hamilton Creek School,English Language Arts,Total Population (All Students),All Grades,80,46.5,18,10.5,62,36.0,57,33.1,35,20.3,172,97.2
2016-2017,2101,Lebanon Community SD 9,658,Hamilton Creek School,English Language Arts,White,All Grades,70,47.3,15,10.1,55,37.2,47,31.8,31,20.9,148,96.7
2016-2017,2101,Lebanon Community SD 9,671,Lacomb School,English Language Arts,Asian,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2101,Lebanon Community SD 9,671,Lacomb School,English Language Arts,Black/African American,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2101,Lebanon Community SD 9,671,Lacomb School,English Language Arts,Econo. Disadvantaged,All Grades,44,47.8,11,12.0,33,35.9,28,30.4,20,21.7,92,98.9
2016-2017,2101,Lebanon Community SD 9,671,Lacomb School,English Language Arts,Extended Assessment,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2101,Lebanon Community SD 9,671,Lacomb School,English Language Arts,Female,All Grades,53,58.9,19,21.1,34,37.8,24,26.7,13,14.4,90,95.7
2016-2017,2101,Lebanon Community SD 9,671,Lacomb School,English Language Arts,Hispanic/Latino,All Grades,8,57.1,3,21.4,5,35.7,4,28.6,2,14.3,14,100.0
2016-2017,2101,Lebanon Community SD 9,671,Lacomb School,English Language Arts,American Indian/Alaskan Native,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2101,Lebanon Community SD 9,671,Lacomb School,English Language Arts,Indian Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2101,Lebanon Community SD 9,671,Lacomb School,English Language Arts,English Learners,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2101,Lebanon Community SD 9,671,Lacomb School,English Language Arts,Male,All Grades,46,57.5,21,26.3,25,31.3,20,25.0,14,17.5,80,100.0
2016-2017,2101,Lebanon Community SD 9,671,Lacomb School,English Language Arts,Migrant Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2101,Lebanon Community SD 9,671,Lacomb School,English Language Arts,Multi-Racial,All Grades,9,56.3,3,18.8,6,37.5,4,25.0,3,18.8,16,94.1
2016-2017,2101,Lebanon Community SD 9,671,Lacomb School,English Language Arts,Pacific Islander,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2101,Lebanon Community SD 9,671,Lacomb School,English Language Arts,SWD with Accommodations,All Grades,1,5.3,0,0.0,1,5.3,5,26.3,13,68.4,19,100.0
2016-2017,2101,Lebanon Community SD 9,671,Lacomb School,English Language Arts,Students with Disabilities (SWD),All Grades,7,22.6,2,6.5,5,16.1,11,35.5,13,41.9,31,96.9
2016-2017,2101,Lebanon Community SD 9,671,Lacomb School,English Language Arts,Talented and Gifted (TAG),All Grades,> 95.0%,> 95.0%,-,-,-,-,-,-,-,-,-,-
2016-2017,2101,Lebanon Community SD 9,671,Lacomb School,English Language Arts,Total Population (All Students),All Grades,99,58.2,40,23.5,59,34.7,44,25.9,27,15.9,170,97.7
2016-2017,2101,Lebanon Community SD 9,671,Lacomb School,English Language Arts,White,All Grades,79,59.0,32,23.9,47,35.1,34,25.4,21,15.7,134,97.8
2016-2017,2101,Lebanon Community SD 9,688,Lebanon High School,English Language Arts,Asian,All Grades,5,71.4,1,14.3,4,57.1,0,0.0,2,28.6,7,100.0
2016-2017,2101,Lebanon Community SD 9,688,Lebanon High School,English Language Arts,Black/African American,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2101,Lebanon Community SD 9,688,Lebanon High School,English Language Arts,Econo. Disadvantaged,All Grades,68,47.9,11,7.7,57,40.1,49,34.5,25,17.6,142,97.9
2016-2017,2101,Lebanon Community SD 9,688,Lebanon High School,English Language Arts,Extended Assessment,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2101,Lebanon Community SD 9,688,Lebanon High School,English Language Arts,Female,All Grades,95,65.1,27,18.5,68,46.6,38,26.0,13,8.9,146,96.1
2016-2017,2101,Lebanon Community SD 9,688,Lebanon High School,English Language Arts,Hispanic/Latino,All Grades,19,65.5,4,13.8,15,51.7,7,24.1,3,10.3,29,96.7
2016-2017,2101,Lebanon Community SD 9,688,Lebanon High School,English Language Arts,American Indian/Alaskan Native,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2101,Lebanon Community SD 9,688,Lebanon High School,English Language Arts,Indian Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2101,Lebanon Community SD 9,688,Lebanon High School,English Language Arts,English Learners,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2101,Lebanon Community SD 9,688,Lebanon High School,English Language Arts,Male,All Grades,81,55.5,19,13.0,62,42.5,41,28.1,24,16.4,146,99.3
2016-2017,2101,Lebanon Community SD 9,688,Lebanon High School,English Language Arts,Migrant Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2101,Lebanon Community SD 9,688,Lebanon High School,English Language Arts,Multi-Racial,All Grades,5,41.7,0,0.0,5,41.7,7,58.3,0,0.0,12,92.3
2016-2017,2101,Lebanon Community SD 9,688,Lebanon High School,English Language Arts,Pacific Islander,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2101,Lebanon Community SD 9,688,Lebanon High School,English Language Arts,SWD with Accommodations,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2101,Lebanon Community SD 9,688,Lebanon High School,English Language Arts,Students with Disabilities (SWD),All Grades,2,6.7,0,0.0,2,6.7,7,23.3,21,70.0,30,100.0
2016-2017,2101,Lebanon Community SD 9,688,Lebanon High School,English Language Arts,Talented and Gifted (TAG),All Grades,9,90.0,7,70.0,2,20.0,1,10.0,0,0.0,10,90.9
2016-2017,2101,Lebanon Community SD 9,688,Lebanon High School,English Language Arts,Total Population (All Students),All Grades,176,60.3,46,15.8,130,44.5,79,27.1,37,12.7,292,97.7
2016-2017,2101,Lebanon Community SD 9,688,Lebanon High School,English Language Arts,White,All Grades,144,60.0,41,17.1,103,42.9,65,27.1,31,12.9,240,98.0
2016-2017,2101,Lebanon Community SD 9,3504,Pioneer School,English Language Arts,Asian,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2101,Lebanon Community SD 9,3504,Pioneer School,English Language Arts,Black/African American,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2101,Lebanon Community SD 9,3504,Pioneer School,English Language Arts,Econo. Disadvantaged,All Grades,94,46.8,39,19.4,55,27.4,47,23.4,60,29.9,201,100.0
2016-2017,2101,Lebanon Community SD 9,3504,Pioneer School,English Language Arts,Extended Assessment,All Grades,5,83.3,2,33.3,3,50.0,1,16.7,0,0.0,6,100.0
2016-2017,2101,Lebanon Community SD 9,3504,Pioneer School,English Language Arts,Female,All Grades,52,51.5,23,22.8,29,28.7,23,22.8,26,25.7,101,100.0
2016-2017,2101,Lebanon Community SD 9,3504,Pioneer School,English Language Arts,Hispanic/Latino,All Grades,8,38.1,1,4.8,7,33.3,4,19.0,9,42.9,21,100.0
2016-2017,2101,Lebanon Community SD 9,3504,Pioneer School,English Language Arts,American Indian/Alaskan Native,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2101,Lebanon Community SD 9,3504,Pioneer School,English Language Arts,Indian Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2101,Lebanon Community SD 9,3504,Pioneer School,English Language Arts,English Learners,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2101,Lebanon Community SD 9,3504,Pioneer School,English Language Arts,Male,All Grades,42,42.0,16,16.0,26,26.0,24,24.0,34,34.0,100,100.0
2016-2017,2101,Lebanon Community SD 9,3504,Pioneer School,English Language Arts,Migrant Education,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2101,Lebanon Community SD 9,3504,Pioneer School,English Language Arts,Multi-Racial,All Grades,2,18.2,0,0.0,2,18.2,5,45.5,4,36.4,11,100.0
2016-2017,2101,Lebanon Community SD 9,3504,Pioneer School,English Language Arts,Pacific Islander,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2101,Lebanon Community SD 9,3504,Pioneer School,English Language Arts,SWD with Accommodations,All Grades,< 5.0%,< 5.0%,-,-,-,-,-,-,-,-,-,-
2016-2017,2101,Lebanon Community SD 9,3504,Pioneer School,English Language Arts,Students with Disabilities (SWD),All Grades,5,12.5,4,10.0,1,2.5,13,32.5,22,55.0,40,100.0
2016-2017,2101,Lebanon Community SD 9,3504,Pioneer School,English Language Arts,Talented and Gifted (TAG),All Grades,14,93.3,12,80.0,2,13.3,1,6.7,0,0.0,15,100.0
2016-2017,2101,Lebanon Community SD 9,3504,Pioneer School,English Language Arts,Total Population (All Students),All Grades,94,46.8,39,19.4,55,27.4,47,23.4,60,29.9,201,100.0
2016-2017,2101,Lebanon Community SD 9,3504,Pioneer School,English Language Arts,White,All Grades,84,50.3,38,22.8,46,27.5,38,22.8,45,26.9,167,100.0
2016-2017,2101,Lebanon Community SD 9,3503,Riverview School,English Language Arts,Asian,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2101,Lebanon Community SD 9,3503,Riverview School,English Language Arts,Black/African American,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2101,Lebanon Community SD 9,3503,Riverview School,English Language Arts,Econo. Disadvantaged,All Grades,77,37.7,28,13.7,49,24.0,39,19.1,88,43.1,205,91.5
2016-2017,2101,Lebanon Community SD 9,3503,Riverview School,English Language Arts,Extended Assessment,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2101,Lebanon Community SD 9,3503,Riverview School,English Language Arts,Female,All Grades,49,49.0,18,18.0,31,31.0,16,16.0,35,35.0,100,94.3
2016-2017,2101,Lebanon Community SD 9,3503,Riverview School,English Language Arts,Hispanic/Latino,All Grades,2,11.8,1,5.9,1,5.9,3,17.6,12,70.6,17,85.0
2016-2017,2101,Lebanon Community SD 9,3503,Riverview School,English Language Arts,American Indian/Alaskan Native,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2101,Lebanon Community SD 9,3503,Riverview School,English Language Arts,Indian Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2101,Lebanon Community SD 9,3503,Riverview School,English Language Arts,English Learners,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2101,Lebanon Community SD 9,3503,Riverview School,English Language Arts,Male,All Grades,28,26.9,10,9.6,18,17.3,23,22.1,53,51.0,105,89.0
2016-2017,2101,Lebanon Community SD 9,3503,Riverview School,English Language Arts,Migrant Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2101,Lebanon Community SD 9,3503,Riverview School,English Language Arts,Multi-Racial,All Grades,7,43.8,1,6.3,6,37.5,4,25.0,5,31.3,16,88.9
2016-2017,2101,Lebanon Community SD 9,3503,Riverview School,English Language Arts,Pacific Islander,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2101,Lebanon Community SD 9,3503,Riverview School,English Language Arts,SWD with Accommodations,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2101,Lebanon Community SD 9,3503,Riverview School,English Language Arts,Students with Disabilities (SWD),All Grades,7,21.2,2,6.1,5,15.2,7,21.2,19,57.6,33,78.6
2016-2017,2101,Lebanon Community SD 9,3503,Riverview School,English Language Arts,Talented and Gifted (TAG),All Grades,16,88.9,10,55.6,6,33.3,1,5.6,1,5.6,18,100.0
2016-2017,2101,Lebanon Community SD 9,3503,Riverview School,English Language Arts,Total Population (All Students),All Grades,77,37.7,28,13.7,49,24.0,39,19.1,88,43.1,205,91.5
2016-2017,2101,Lebanon Community SD 9,3503,Riverview School,English Language Arts,White,All Grades,67,40.4,26,15.7,41,24.7,31,18.7,68,41.0,166,92.2
2016-2017,2101,Lebanon Community SD 9,3505,Sand Ridge Charter School,English Language Arts,Asian,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2101,Lebanon Community SD 9,3505,Sand Ridge Charter School,English Language Arts,Black/African American,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2101,Lebanon Community SD 9,3505,Sand Ridge Charter School,English Language Arts,Econo. Disadvantaged,All Grades,44,66.7,15,22.7,29,43.9,13,19.7,9,13.6,66,100.0
2016-2017,2101,Lebanon Community SD 9,3505,Sand Ridge Charter School,English Language Arts,Extended Assessment,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2101,Lebanon Community SD 9,3505,Sand Ridge Charter School,English Language Arts,Female,All Grades,75,78.1,36,37.5,39,40.6,16,16.7,5,5.2,96,100.0
2016-2017,2101,Lebanon Community SD 9,3505,Sand Ridge Charter School,English Language Arts,Hispanic/Latino,All Grades,11,61.1,4,22.2,7,38.9,6,33.3,1,5.6,18,100.0
2016-2017,2101,Lebanon Community SD 9,3505,Sand Ridge Charter School,English Language Arts,American Indian/Alaskan Native,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2101,Lebanon Community SD 9,3505,Sand Ridge Charter School,English Language Arts,Indian Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2101,Lebanon Community SD 9,3505,Sand Ridge Charter School,English Language Arts,English Learners,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2101,Lebanon Community SD 9,3505,Sand Ridge Charter School,English Language Arts,Male,All Grades,57,68.7,20,24.1,37,44.6,15,18.1,11,13.3,83,100.0
2016-2017,2101,Lebanon Community SD 9,3505,Sand Ridge Charter School,English Language Arts,Migrant Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2101,Lebanon Community SD 9,3505,Sand Ridge Charter School,English Language Arts,Multi-Racial,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2101,Lebanon Community SD 9,3505,Sand Ridge Charter School,English Language Arts,Pacific Islander,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2101,Lebanon Community SD 9,3505,Sand Ridge Charter School,English Language Arts,SWD with Accommodations,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2101,Lebanon Community SD 9,3505,Sand Ridge Charter School,English Language Arts,Students with Disabilities (SWD),All Grades,6,46.2,2,15.4,4,30.8,4,30.8,3,23.1,13,100.0
2016-2017,2101,Lebanon Community SD 9,3505,Sand Ridge Charter School,English Language Arts,Talented and Gifted (TAG),All Grades,> 95.0%,> 95.0%,-,-,-,-,-,-,-,-,-,-
2016-2017,2101,Lebanon Community SD 9,3505,Sand Ridge Charter School,English Language Arts,Total Population (All Students),All Grades,132,73.7,56,31.3,76,42.5,31,17.3,16,8.9,179,100.0
2016-2017,2101,Lebanon Community SD 9,3505,Sand Ridge Charter School,English Language Arts,White,All Grades,110,74.3,50,33.8,60,40.5,24,16.2,14,9.5,148,100.0
2016-2017,2101,Lebanon Community SD 9,674,Seven Oak Middle School,English Language Arts,Asian,All Grades,4,57.1,1,14.3,3,42.9,3,42.9,0,0.0,7,100.0
2016-2017,2101,Lebanon Community SD 9,674,Seven Oak Middle School,English Language Arts,Black/African American,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2101,Lebanon Community SD 9,674,Seven Oak Middle School,English Language Arts,Econo. Disadvantaged,All Grades,103,29.1,15,4.2,88,24.9,115,32.5,136,38.4,354,98.6
2016-2017,2101,Lebanon Community SD 9,674,Seven Oak Middle School,English Language Arts,Extended Assessment,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2101,Lebanon Community SD 9,674,Seven Oak Middle School,English Language Arts,Female,All Grades,122,44.9,24,8.8,98,36.0,81,29.8,69,25.4,272,99.3
2016-2017,2101,Lebanon Community SD 9,674,Seven Oak Middle School,English Language Arts,Hispanic/Latino,All Grades,19,24.7,2,2.6,17,22.1,23,29.9,35,45.5,77,98.7
2016-2017,2101,Lebanon Community SD 9,674,Seven Oak Middle School,English Language Arts,American Indian/Alaskan Native,All Grades,4,36.4,0,0.0,4,36.4,3,27.3,4,36.4,11,100.0
2016-2017,2101,Lebanon Community SD 9,674,Seven Oak Middle School,English Language Arts,Indian Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2101,Lebanon Community SD 9,674,Seven Oak Middle School,English Language Arts,English Learners,All Grades,1,5.9,0,0.0,1,5.9,3,17.6,13,76.5,17,100.0
2016-2017,2101,Lebanon Community SD 9,674,Seven Oak Middle School,English Language Arts,Male,All Grades,86,28.5,11,3.6,75,24.8,89,29.5,127,42.1,302,96.8
