Academic Year,District ID,District,School ID,School,Subject,Student Group,Grade Level,Number Proficient (Level 3 or 4),Percent Proficient (Level 3 or 4),Number Level 4,Percent Level 4,Number Level 3,Percent Level 3,Number Level 2,Percent Level 2,Number Level 1,Percent Level 1,Number of Participants,Participation Rate
2016-2017,2113,Adrian SD 61,707,Adrian Elementary School,Mathematics,Asian,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2113,Adrian SD 61,707,Adrian Elementary School,Mathematics,Black/African American,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2113,Adrian SD 61,707,Adrian Elementary School,Mathematics,Econo. Disadvantaged,All Grades,40,54.8,15,20.5,25,34.2,24,32.9,9,12.3,75,100.0
2016-2017,2113,Adrian SD 61,707,Adrian Elementary School,Mathematics,Extended Assessment,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2113,Adrian SD 61,707,Adrian Elementary School,Mathematics,Female,All Grades,42,61.8,18,26.5,24,35.3,22,32.4,4,5.9,68,100.0
2016-2017,2113,Adrian SD 61,707,Adrian Elementary School,Mathematics,Hispanic/Latino,All Grades,12,52.2,5,21.7,7,30.4,6,26.1,5,21.7,25,100.0
2016-2017,2113,Adrian SD 61,707,Adrian Elementary School,Mathematics,American Indian/Alaskan Native,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2113,Adrian SD 61,707,Adrian Elementary School,Mathematics,Indian Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2113,Adrian SD 61,707,Adrian Elementary School,Mathematics,English Learners,All Grades,2,28.6,0,0.0,2,28.6,1,14.3,4,57.1,9,100.0
2016-2017,2113,Adrian SD 61,707,Adrian Elementary School,Mathematics,Male,All Grades,35,67.3,16,30.8,19,36.5,12,23.1,5,9.6,54,100.0
2016-2017,2113,Adrian SD 61,707,Adrian Elementary School,Mathematics,Migrant Education,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2113,Adrian SD 61,707,Adrian Elementary School,Mathematics,Multi-Racial,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2113,Adrian SD 61,707,Adrian Elementary School,Mathematics,Pacific Islander,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2113,Adrian SD 61,707,Adrian Elementary School,Mathematics,SWD with Accommodations,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2113,Adrian SD 61,707,Adrian Elementary School,Mathematics,Students with Disabilities (SWD),All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2113,Adrian SD 61,707,Adrian Elementary School,Mathematics,Talented and Gifted (TAG),All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2113,Adrian SD 61,707,Adrian Elementary School,Mathematics,Total Population (All Students),All Grades,77,64.2,34,28.3,43,35.8,34,28.3,9,7.5,122,100.0
2016-2017,2113,Adrian SD 61,707,Adrian Elementary School,Mathematics,White,All Grades,65,67.0,29,29.9,36,37.1,28,28.9,4,4.1,97,100.0
2016-2017,2113,Adrian SD 61,708,Adrian High School,Mathematics,Asian,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2113,Adrian SD 61,708,Adrian High School,Mathematics,Black/African American,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2113,Adrian SD 61,708,Adrian High School,Mathematics,Econo. Disadvantaged,All Grades,7,63.6,2,18.2,5,45.5,3,27.3,1,9.1,11,100.0
2016-2017,2113,Adrian SD 61,708,Adrian High School,Mathematics,Extended Assessment,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2113,Adrian SD 61,708,Adrian High School,Mathematics,Female,All Grades,5,41.7,1,8.3,4,33.3,5,41.7,2,16.7,12,100.0
2016-2017,2113,Adrian SD 61,708,Adrian High School,Mathematics,Hispanic/Latino,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2113,Adrian SD 61,708,Adrian High School,Mathematics,American Indian/Alaskan Native,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2113,Adrian SD 61,708,Adrian High School,Mathematics,Indian Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2113,Adrian SD 61,708,Adrian High School,Mathematics,English Learners,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2113,Adrian SD 61,708,Adrian High School,Mathematics,Male,All Grades,10,71.4,3,21.4,7,50.0,4,28.6,0,0.0,14,87.5
2016-2017,2113,Adrian SD 61,708,Adrian High School,Mathematics,Migrant Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2113,Adrian SD 61,708,Adrian High School,Mathematics,Multi-Racial,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2113,Adrian SD 61,708,Adrian High School,Mathematics,Pacific Islander,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2113,Adrian SD 61,708,Adrian High School,Mathematics,SWD with Accommodations,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2113,Adrian SD 61,708,Adrian High School,Mathematics,Students with Disabilities (SWD),All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2113,Adrian SD 61,708,Adrian High School,Mathematics,Talented and Gifted (TAG),All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2113,Adrian SD 61,708,Adrian High School,Mathematics,Total Population (All Students),All Grades,15,57.7,4,15.4,11,42.3,9,34.6,2,7.7,26,92.9
2016-2017,2113,Adrian SD 61,708,Adrian High School,Mathematics,White,All Grades,13,61.9,4,19.0,9,42.9,7,33.3,1,4.8,21,91.3
2016-2017,1899,Alsea SD 7J,16,Alsea Elementary School,Mathematics,Asian,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1899,Alsea SD 7J,16,Alsea Elementary School,Mathematics,Black/African American,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1899,Alsea SD 7J,16,Alsea Elementary School,Mathematics,Econo. Disadvantaged,All Grades,< 5.0%,< 5.0%,-,-,-,-,-,-,-,-,-,-
2016-2017,1899,Alsea SD 7J,16,Alsea Elementary School,Mathematics,Extended Assessment,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1899,Alsea SD 7J,16,Alsea Elementary School,Mathematics,Female,All Grades,1,6.7,0,0.0,1,6.7,2,13.3,12,80.0,15,57.7
2016-2017,1899,Alsea SD 7J,16,Alsea Elementary School,Mathematics,Hispanic/Latino,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1899,Alsea SD 7J,16,Alsea Elementary School,Mathematics,American Indian/Alaskan Native,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1899,Alsea SD 7J,16,Alsea Elementary School,Mathematics,Indian Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1899,Alsea SD 7J,16,Alsea Elementary School,Mathematics,English Learners,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1899,Alsea SD 7J,16,Alsea Elementary School,Mathematics,Male,All Grades,3,25.0,0,0.0,3,25.0,6,50.0,3,25.0,12,70.6
2016-2017,1899,Alsea SD 7J,16,Alsea Elementary School,Mathematics,Migrant Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1899,Alsea SD 7J,16,Alsea Elementary School,Mathematics,Multi-Racial,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1899,Alsea SD 7J,16,Alsea Elementary School,Mathematics,Pacific Islander,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1899,Alsea SD 7J,16,Alsea Elementary School,Mathematics,SWD with Accommodations,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1899,Alsea SD 7J,16,Alsea Elementary School,Mathematics,Students with Disabilities (SWD),All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1899,Alsea SD 7J,16,Alsea Elementary School,Mathematics,Talented and Gifted (TAG),All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1899,Alsea SD 7J,16,Alsea Elementary School,Mathematics,Total Population (All Students),All Grades,4,14.8,0,0.0,4,14.8,8,29.6,15,55.6,27,62.8
2016-2017,1899,Alsea SD 7J,16,Alsea Elementary School,Mathematics,White,All Grades,4,18.2,0,0.0,4,18.2,7,31.8,11,50.0,22,61.1
2016-2017,1899,Alsea SD 7J,17,Alsea High School,Mathematics,Asian,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1899,Alsea SD 7J,17,Alsea High School,Mathematics,Black/African American,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1899,Alsea SD 7J,17,Alsea High School,Mathematics,Econo. Disadvantaged,All Grades,6,42.9,1,7.1,5,35.7,5,35.7,3,21.4,14,82.4
2016-2017,1899,Alsea SD 7J,17,Alsea High School,Mathematics,Extended Assessment,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1899,Alsea SD 7J,17,Alsea High School,Mathematics,Female,All Grades,6,42.9,3,21.4,3,21.4,3,21.4,5,35.7,14,82.4
2016-2017,1899,Alsea SD 7J,17,Alsea High School,Mathematics,Hispanic/Latino,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1899,Alsea SD 7J,17,Alsea High School,Mathematics,American Indian/Alaskan Native,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1899,Alsea SD 7J,17,Alsea High School,Mathematics,Indian Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1899,Alsea SD 7J,17,Alsea High School,Mathematics,English Learners,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1899,Alsea SD 7J,17,Alsea High School,Mathematics,Male,All Grades,2,22.2,0,0.0,2,22.2,4,44.4,3,33.3,9,75.0
2016-2017,1899,Alsea SD 7J,17,Alsea High School,Mathematics,Migrant Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1899,Alsea SD 7J,17,Alsea High School,Mathematics,Multi-Racial,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1899,Alsea SD 7J,17,Alsea High School,Mathematics,Pacific Islander,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1899,Alsea SD 7J,17,Alsea High School,Mathematics,SWD with Accommodations,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1899,Alsea SD 7J,17,Alsea High School,Mathematics,Students with Disabilities (SWD),All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1899,Alsea SD 7J,17,Alsea High School,Mathematics,Talented and Gifted (TAG),All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1899,Alsea SD 7J,17,Alsea High School,Mathematics,Total Population (All Students),All Grades,8,34.8,3,13.0,5,21.7,7,30.4,8,34.8,23,79.3
2016-2017,1899,Alsea SD 7J,17,Alsea High School,Mathematics,White,All Grades,8,40.0,3,15.0,5,25.0,5,25.0,7,35.0,20,83.3
2016-2017,2252,Amity SD 4J,1208,Amity Elementary School,Mathematics,Asian,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2252,Amity SD 4J,1208,Amity Elementary School,Mathematics,Black/African American,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2252,Amity SD 4J,1208,Amity Elementary School,Mathematics,Econo. Disadvantaged,All Grades,31,32.6,10,10.5,21,22.1,31,32.6,33,34.7,95,95.0
2016-2017,2252,Amity SD 4J,1208,Amity Elementary School,Mathematics,Extended Assessment,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2252,Amity SD 4J,1208,Amity Elementary School,Mathematics,Female,All Grades,41,46.1,17,19.1,24,27.0,29,32.6,19,21.3,89,94.7
2016-2017,2252,Amity SD 4J,1208,Amity Elementary School,Mathematics,Hispanic/Latino,All Grades,6,25.0,0,0.0,6,25.0,9,37.5,9,37.5,24,96.0
2016-2017,2252,Amity SD 4J,1208,Amity Elementary School,Mathematics,American Indian/Alaskan Native,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2252,Amity SD 4J,1208,Amity Elementary School,Mathematics,Indian Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2252,Amity SD 4J,1208,Amity Elementary School,Mathematics,English Learners,All Grades,2,28.6,0,0.0,2,28.6,1,14.3,4,57.1,7,100.0
2016-2017,2252,Amity SD 4J,1208,Amity Elementary School,Mathematics,Male,All Grades,35,38.0,15,16.3,20,21.7,30,32.6,27,29.3,92,94.8
2016-2017,2252,Amity SD 4J,1208,Amity Elementary School,Mathematics,Migrant Education,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2252,Amity SD 4J,1208,Amity Elementary School,Mathematics,Multi-Racial,All Grades,2,28.6,2,28.6,0,0.0,4,57.1,1,14.3,7,100.0
2016-2017,2252,Amity SD 4J,1208,Amity Elementary School,Mathematics,Pacific Islander,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2252,Amity SD 4J,1208,Amity Elementary School,Mathematics,SWD with Accommodations,All Grades,< 5.0%,< 5.0%,-,-,-,-,-,-,-,-,-,-
2016-2017,2252,Amity SD 4J,1208,Amity Elementary School,Mathematics,Students with Disabilities (SWD),All Grades,1,5.3,1,5.3,0,0.0,7,36.8,11,57.9,19,95.0
2016-2017,2252,Amity SD 4J,1208,Amity Elementary School,Mathematics,Talented and Gifted (TAG),All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2252,Amity SD 4J,1208,Amity Elementary School,Mathematics,Total Population (All Students),All Grades,76,42.0,32,17.7,44,24.3,59,32.6,46,25.4,181,94.8
2016-2017,2252,Amity SD 4J,1208,Amity Elementary School,Mathematics,White,All Grades,66,44.9,30,20.4,36,24.5,46,31.3,35,23.8,147,94.2
2016-2017,2252,Amity SD 4J,1210,Amity High School,Mathematics,Asian,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2252,Amity SD 4J,1210,Amity High School,Mathematics,Black/African American,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2252,Amity SD 4J,1210,Amity High School,Mathematics,Econo. Disadvantaged,All Grades,3,13.0,1,4.3,2,8.7,8,34.8,12,52.2,23,95.8
2016-2017,2252,Amity SD 4J,1210,Amity High School,Mathematics,Extended Assessment,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2252,Amity SD 4J,1210,Amity High School,Mathematics,Female,All Grades,6,18.2,1,3.0,5,15.2,8,24.2,19,57.6,33,97.1
2016-2017,2252,Amity SD 4J,1210,Amity High School,Mathematics,Hispanic/Latino,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2252,Amity SD 4J,1210,Amity High School,Mathematics,American Indian/Alaskan Native,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2252,Amity SD 4J,1210,Amity High School,Mathematics,Indian Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2252,Amity SD 4J,1210,Amity High School,Mathematics,English Learners,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2252,Amity SD 4J,1210,Amity High School,Mathematics,Male,All Grades,11,34.4,2,6.3,9,28.1,5,15.6,16,50.0,32,82.1
2016-2017,2252,Amity SD 4J,1210,Amity High School,Mathematics,Migrant Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2252,Amity SD 4J,1210,Amity High School,Mathematics,Multi-Racial,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2252,Amity SD 4J,1210,Amity High School,Mathematics,Pacific Islander,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2252,Amity SD 4J,1210,Amity High School,Mathematics,SWD with Accommodations,All Grades,< 5.0%,< 5.0%,-,-,-,-,-,-,-,-,-,-
2016-2017,2252,Amity SD 4J,1210,Amity High School,Mathematics,Students with Disabilities (SWD),All Grades,< 5.0%,< 5.0%,-,-,-,-,-,-,-,-,-,-
2016-2017,2252,Amity SD 4J,1210,Amity High School,Mathematics,Talented and Gifted (TAG),All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2252,Amity SD 4J,1210,Amity High School,Mathematics,Total Population (All Students),All Grades,17,26.2,3,4.6,14,21.5,13,20.0,35,53.8,65,89.0
2016-2017,2252,Amity SD 4J,1210,Amity High School,Mathematics,White,All Grades,15,26.8,2,3.6,13,23.2,10,17.9,31,55.4,56,88.9
2016-2017,2252,Amity SD 4J,1209,Amity Middle School,Mathematics,Asian,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2252,Amity SD 4J,1209,Amity Middle School,Mathematics,Black/African American,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2252,Amity SD 4J,1209,Amity Middle School,Mathematics,Econo. Disadvantaged,All Grades,13,14.3,2,2.2,11,12.1,41,45.1,37,40.7,91,91.0
2016-2017,2252,Amity SD 4J,1209,Amity Middle School,Mathematics,Extended Assessment,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2252,Amity SD 4J,1209,Amity Middle School,Mathematics,Female,All Grades,17,23.6,7,9.7,10,13.9,27,37.5,28,38.9,72,85.7
2016-2017,2252,Amity SD 4J,1209,Amity Middle School,Mathematics,Hispanic/Latino,All Grades,2,9.5,1,4.8,1,4.8,7,33.3,12,57.1,21,80.8
2016-2017,2252,Amity SD 4J,1209,Amity Middle School,Mathematics,American Indian/Alaskan Native,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2252,Amity SD 4J,1209,Amity Middle School,Mathematics,Indian Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2252,Amity SD 4J,1209,Amity Middle School,Mathematics,English Learners,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2252,Amity SD 4J,1209,Amity Middle School,Mathematics,Male,All Grades,22,24.7,8,9.0,14,15.7,40,44.9,27,30.3,89,88.1
2016-2017,2252,Amity SD 4J,1209,Amity Middle School,Mathematics,Migrant Education,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2252,Amity SD 4J,1209,Amity Middle School,Mathematics,Multi-Racial,All Grades,2,33.3,0,0.0,2,33.3,2,33.3,2,33.3,6,75.0
2016-2017,2252,Amity SD 4J,1209,Amity Middle School,Mathematics,Pacific Islander,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2252,Amity SD 4J,1209,Amity Middle School,Mathematics,SWD with Accommodations,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2252,Amity SD 4J,1209,Amity Middle School,Mathematics,Students with Disabilities (SWD),All Grades,5,16.7,1,3.3,4,13.3,9,30.0,16,53.3,30,93.8
2016-2017,2252,Amity SD 4J,1209,Amity Middle School,Mathematics,Talented and Gifted (TAG),All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2252,Amity SD 4J,1209,Amity Middle School,Mathematics,Total Population (All Students),All Grades,39,24.2,15,9.3,24,14.9,67,41.6,55,34.2,161,87.0
2016-2017,2252,Amity SD 4J,1209,Amity Middle School,Mathematics,White,All Grades,34,26.0,13,9.9,21,16.0,57,43.5,40,30.5,131,88.5
2016-2017,2252,Amity SD 4J,4505,Eola Hills Charter School,Mathematics,Asian,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2252,Amity SD 4J,4505,Eola Hills Charter School,Mathematics,Black/African American,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2252,Amity SD 4J,4505,Eola Hills Charter School,Mathematics,Econo. Disadvantaged,All Grades,< 5.0%,< 5.0%,-,-,-,-,-,-,-,-,-,-
2016-2017,2252,Amity SD 4J,4505,Eola Hills Charter School,Mathematics,Extended Assessment,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2252,Amity SD 4J,4505,Eola Hills Charter School,Mathematics,Female,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2252,Amity SD 4J,4505,Eola Hills Charter School,Mathematics,Hispanic/Latino,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2252,Amity SD 4J,4505,Eola Hills Charter School,Mathematics,American Indian/Alaskan Native,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2252,Amity SD 4J,4505,Eola Hills Charter School,Mathematics,Indian Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2252,Amity SD 4J,4505,Eola Hills Charter School,Mathematics,English Learners,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2252,Amity SD 4J,4505,Eola Hills Charter School,Mathematics,Male,All Grades,1,5.6,0,0.0,1,5.6,5,27.8,12,66.7,18,85.7
2016-2017,2252,Amity SD 4J,4505,Eola Hills Charter School,Mathematics,Migrant Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2252,Amity SD 4J,4505,Eola Hills Charter School,Mathematics,Multi-Racial,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2252,Amity SD 4J,4505,Eola Hills Charter School,Mathematics,Pacific Islander,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2252,Amity SD 4J,4505,Eola Hills Charter School,Mathematics,SWD with Accommodations,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2252,Amity SD 4J,4505,Eola Hills Charter School,Mathematics,Students with Disabilities (SWD),All Grades,2,33.3,0,0.0,2,33.3,0,0.0,4,66.7,6,100.0
2016-2017,2252,Amity SD 4J,4505,Eola Hills Charter School,Mathematics,Talented and Gifted (TAG),All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2252,Amity SD 4J,4505,Eola Hills Charter School,Mathematics,Total Population (All Students),All Grades,2,9.5,0,0.0,2,9.5,5,23.8,14,66.7,21,84.0
2016-2017,2252,Amity SD 4J,4505,Eola Hills Charter School,Mathematics,White,All Grades,2,13.3,0,0.0,2,13.3,4,26.7,9,60.0,15,78.9
2016-2017,2111,Annex SD 29,705,Annex Charter School,Mathematics,Asian,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2111,Annex SD 29,705,Annex Charter School,Mathematics,Black/African American,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2111,Annex SD 29,705,Annex Charter School,Mathematics,Econo. Disadvantaged,All Grades,8,15.7,6,11.8,2,3.9,19,37.3,24,47.1,51,100.0
2016-2017,2111,Annex SD 29,705,Annex Charter School,Mathematics,Extended Assessment,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2111,Annex SD 29,705,Annex Charter School,Mathematics,Female,All Grades,5,16.7,4,13.3,1,3.3,16,53.3,9,30.0,30,100.0
2016-2017,2111,Annex SD 29,705,Annex Charter School,Mathematics,Hispanic/Latino,All Grades,1,5.6,0,0.0,1,5.6,5,27.8,12,66.7,18,100.0
2016-2017,2111,Annex SD 29,705,Annex Charter School,Mathematics,American Indian/Alaskan Native,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2111,Annex SD 29,705,Annex Charter School,Mathematics,Indian Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2111,Annex SD 29,705,Annex Charter School,Mathematics,English Learners,All Grades,< 5.0%,< 5.0%,-,-,-,-,-,-,-,-,-,-
2016-2017,2111,Annex SD 29,705,Annex Charter School,Mathematics,Male,All Grades,3,14.3,2,9.5,1,4.8,3,14.3,15,71.4,21,100.0
2016-2017,2111,Annex SD 29,705,Annex Charter School,Mathematics,Migrant Education,All Grades,1,16.7,0,0.0,1,16.7,1,16.7,4,66.7,6,100.0
2016-2017,2111,Annex SD 29,705,Annex Charter School,Mathematics,Multi-Racial,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2111,Annex SD 29,705,Annex Charter School,Mathematics,Pacific Islander,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2111,Annex SD 29,705,Annex Charter School,Mathematics,SWD with Accommodations,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2111,Annex SD 29,705,Annex Charter School,Mathematics,Students with Disabilities (SWD),All Grades,< 5.0%,< 5.0%,-,-,-,-,-,-,-,-,-,-
2016-2017,2111,Annex SD 29,705,Annex Charter School,Mathematics,Talented and Gifted (TAG),All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2111,Annex SD 29,705,Annex Charter School,Mathematics,Total Population (All Students),All Grades,8,15.7,6,11.8,2,3.9,19,37.3,24,47.1,51,100.0
2016-2017,2111,Annex SD 29,705,Annex Charter School,Mathematics,White,All Grades,6,20.7,6,20.7,0,0.0,12,41.4,11,37.9,29,100.0
2016-2017,2005,Arlington SD 3,323,Arlington Community Charter School,Mathematics,Asian,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
