school,city,county,district,esd,governance,ods.participation,ods.grades,ods.camp,ods.days,ods.nights,ods.academic.component,ods.total.students,curriculum.outside.provider,curriculum.school.district.staff,curriculum.volunteers,staffing.provider.staff,staffing.hs.mentors,staffing.parents.volunteers,staffing.community.experts,staffing.other,ela.numeric,math.numeric,science.numeric,frl,pct.white,lon,lat,ods.camp_1,ods.camp_2,ods.camp_3,ods.camp_4,ods.camp_5
Antonia Crater Elementary School,Newberg,Yamhill,Newberg SD 29J,Willamette ESD,Public,Yes,5,Twin Rocks Friends Conference,3,2,"Yes, and it CONNECTS TO STATE STANDARDS",80,Yes,No,No,,,,,,0.6559999999999999,0.614,0.8029999999999999,0.305,0.8190000000000001,-122.9796458,45.3251977,Twin Rocks Friends Conference,,,,
Applegate Elementary School,Applegate,Josephine,Three Rivers/Josephine County SD,Southern Oregon ESD,Public,No,"",,,,,,,,,,,,,,0.648,0.33799999999999997,0.591,0.5489999999999999,0.833,-123.153396,42.254531,,,,,
Applegate Elementary School,Eugene,Lane,Crow-Applegate-Lorane SD 66,Lane ESD,Public,No,"",,,,,,,,,,,,,,0.33799999999999997,0.308,0.524,0.4622,0.866,-123.33651,43.990263,,,,,
Arata Creek School,Troutdale,Multnomah,Multnomah ESD,Multnomah ESD,Public,Yes,"5, 6, 7",Camp Arrah Wanna,5,4,"Yes, and it CONNECTS TO STATE STANDARDS",5,Yes,Yes,No,Yes,No,No,No,Yes,,,,,0.667,-122.4131516,45.5342963,Camp Arrah Wanna,,,,
Arbor School Of Arts & Sciences,Tualatin,Clackamas,Private,Private,Private,No,"",,,,,,,,,,,,,,,,,,,-122.7198602,45.3759514,,,,,
St Rose School,Portland,Multnomah,Private,Private,Private,Yes,6,Camp Namanu,6,5,"Yes, and it CONNECTS TO STATE STANDARDS",28,Yes,No,No,Yes,No,No,No,No,,,,,,-122.6080966,45.5423508,Camp Namanu,,,,
Arco Iris Spanish Immersion School,Portland,Washington,Beaverton SD 48J,Northwest Regional ESD,Public,Yes,6,Cedar Ridge,4,3,"Yes, and it CONNECTS TO STATE STANDARDS",24,,,,,,,,,0.757,0.573,0.8109999999999999,0.1338,0.445,-122.8183344,45.4761261,Cedar Ridge,,,,
Arleta K-8 School,Portland,Multnomah,Portland SD 1J,Multnomah ESD,Public,Yes,6,"Camp Arrah Wanna,Camp Howard",6,5,"Yes, and it CONNECTS TO STATE STANDARDS",39,Yes,No,No,Yes,No,No,No,No,0.57,0.40399999999999997,0.645,0.5164,0.6,-122.5968135,45.486162,Camp Arrah Wanna,Camp Howard,,,
Arlington Community Charter School,Arlington,Gilliam,Arlington SD 3,North Central ESD,Public,Yes,6,Tupper Workstation,5,4,"Yes, and it CONNECTS TO STATE STANDARDS",26,Yes,Yes,No,No,Yes,No,Yes,No,0.722,0.444,0.7859999999999999,0.6707,0.78,-120.1999591,45.712426,Tupper Workstation,,,,
Armadillo Technical Institute,Phoenix,Jackson,Phoenix-Talent SD 4,Southern Oregon ESD,Public,No,"",,,,,,,,,,,,,,0.387,,0.556,0.4375,0.7809999999999999,-122.8180989,42.2715905,,,,,
Arthur Academy,Portland,Multnomah,David Douglas SD 40,Multnomah ESD,Public,Yes,5,Audubon Marmot Cabin,2,1,"Yes, and it CONNECTS TO STATE STANDARDS",24,Yes,No,No,Yes,No,Yes,No,No,0.754,0.58,0.889,0.44229999999999997,0.59,-122.5221382,45.5042727,Audubon Marmot Cabin,,,,
Arts and Communication Magnet Academy,Beaverton,Washington,Beaverton SD 48J,Northwest Regional ESD,Public,No,"",,,,,,,,,,,,,,0.7140000000000001,0.466,,0.23,0.67,-122.7943591,45.4949521,,,,,
Ashbrook Independent School,Corvallis,Benton,Private,Private,Private,Yes,"6, 7, 8",Coastal Discovery Center at Camp Gray,5,4,"Yes, and it CONNECTS TO STATE STANDARDS",48,Yes,No,No,,,,,,,,,,,-123.294245,44.5512922,Coastal Discovery Center at Camp Gray,,,,
Ashland Middle School,Ashland,Jackson,Ashland SD 5,Southern Oregon ESD,Public,Yes,6,Mountain Lakes Bible Camp,3,2,"Yes, and it CONNECTS TO STATE STANDARDS",180,Yes,Yes,No,Yes,Yes,Yes,No,No,0.752,0.6559999999999999,0.9179999999999999,0.3886,0.789,-122.686706,42.192639,Mountain Lakes Bible Camp,,,,
Ashwood Elementary School,Ashwood,Jefferson,Ashwood SD 8,Jefferson ESD,Public,No,"",,,,,,,,,,,,,,,,,,,-120.7561827,44.7355309,,,,,
Astor Elementary School,Portland,Multnomah,Portland SD 1J,Multnomah ESD,Public,Yes,6,"Camp Arrah Wanna,Camp Angelos",6,5,"Yes, and it CONNECTS TO STATE STANDARDS",46,Yes,No,No,Yes,No,No,No,No,0.531,0.42,0.573,0.5231,0.6,-122.7296365,45.5786686,Camp Arrah Wanna,Camp Angelos,,,
Athey Creek Middle School,West Linn,Clackamas,West Linn-Wilsonville SD 3J,Clackamas ESD,Public,Yes,6,"Cedar Ridge,Trickle Creek",4,3,"Yes, and it CONNECTS TO STATE STANDARDS",220,Yes,No,No,Yes,Yes,No,No,No,0.748,0.624,0.7929999999999999,0.12539999999999998,0.831,-122.7064859,45.3776918,Cedar Ridge,Trickle Creek,,,
Auburn Elementary School,Salem,Marion,Salem-Keizer SD 24J,Willamette ESD,Public,Yes,5,Camp Cascade Conference and Retreat Center,3,2,,84,,,,,,,,,0.231,0.231,0.255,0.8199,0.299,-122.9709096,44.936211,Camp Cascade Conference and Retreat Center,,,,
Awbrey Park Elementary School,Eugene,Lane,Eugene SD 4J,Lane ESD,Public,No,"",,,,,,,,,,,,,,0.496,0.41,0.58,0.5045000000000001,0.8109999999999999,-123.13787,44.1236542,,,,,
Azalea Middle School,Brookings,Curry,Brookings-Harbor SD 17C,South Coast ESD,Public,No,"",,,,,,,,,,,,,,0.469,0.295,0.695,0.5738,0.579,-124.2814747,42.0560617,,,,,
Baker Web Academy,Baker City,Baker,Baker SD 5J,InterMountain ESD,Public,No,"",,,,,,,,,,,,,,0.522,0.259,0.565,,0.8290000000000001,-117.8383032,44.7840258,,,,,
Banks Elementary School,Banks,Washington,Banks SD 13,Northwest Regional ESD,Public,Yes,5,Camp Westwind,4,3,"Yes, and it CONNECTS TO STATE STANDARDS",87,Yes,No,No,Yes,No,No,No,No,0.484,0.402,0.5539999999999999,0.30269999999999997,0.8290000000000001,-123.1134114,45.6115762,Camp Westwind,,,,
Battle Creek Elementary School,Salem,Marion,Salem-Keizer SD 24J,Willamette ESD,Public,No,"",,,,,,,,,,,,,,0.511,0.349,0.708,0.4777,0.768,-123.0261548,44.8639659,,,,,
Bear Creek Elementary School,Bend,Deschutes,Bend-La Pine Admin SD 1,High Desert ESD,Public,Yes,5,Camp Tamarack,3,2,"Yes, and it CONNECTS TO STATE STANDARDS",110,Yes,No,No,Yes,No,No,No,No,0.49200000000000005,0.461,0.55,0.7078,0.526,-121.2874942,44.050533,Camp Tamarack,,,,
Beaumont Middle School,Portland,Multnomah,Portland SD 1J,Multnomah ESD,Public,Yes,6,Canby Grove,6,5,"Yes, and it CONNECTS TO STATE STANDARDS",34,Yes,No,No,Yes,No,No,No,No,0.568,0.522,0.693,0.3796,0.575,-122.6209315,45.548854,Canby Grove,,,,
Beaver Acres Elementary School,Beaverton,Washington,Beaverton SD 48J,Northwest Regional ESD,Public,No,"",,,,,,,,,,,,,,0.513,0.455,0.449,0.6198,0.376,-122.853881,45.5045773,,,,,
Bellview Elementary School,Ashland,Jackson,Ashland SD 5,Southern Oregon ESD,Public,Yes,5,Coastal Discovery Center at Camp Gray,3,2,"Yes, and it CONNECTS TO STATE STANDARDS",60,Yes,Yes,No,Yes,No,Yes,No,No,0.698,0.642,0.852,0.3613,0.845,-122.6706822,42.1759369,Coastal Discovery Center at Camp Gray,,,,
Bend International School,Bend,Deschutes,Bend-La Pine Admin SD 1,High Desert ESD,Public,Yes,"5, 6","Camp Tamarack,Hancock Field Station",4,3,"Yes, and it CONNECTS TO STATE STANDARDS",35,Yes,No,No,Yes,No,No,No,No,0.659,0.57,0.8,0.3704,,-121.3083215,44.0880141,Camp Tamarack,Hancock Field Station,,,
Bethany Charter School,Silverton,Marion,Silver Falls SD 4J,Willamette ESD,Public,Yes,"5, 6, 7, 8","Camp Magruder, Coastal Discovery Center at Camp Gray",3,2,"Yes, but it DOES NOT CONNECT TO STATE STANDARDS",60,Yes,Yes,No,No,No,Yes,No,No,0.625,0.425,0.742,,0.92,-122.8189448,45.011846,Camp Magruder,Seattle,Coastal Discovery Center at Camp Gray,,
Beverly Cleary School,Portland,Multnomah,Portland SD 1J,Multnomah ESD,Public,Yes,6,"Camp Angelos,Camp Arrah Wanna,Camp Howard",6,5,"Yes, and it CONNECTS TO STATE STANDARDS",103,Yes,No,No,Yes,No,No,No,No,0.85,0.7440000000000001,0.8290000000000001,0.0667,0.794,-122.6315604,45.5367635,Camp Angelos,Camp Arrah Wanna,Camp Howard,,
Black Butte Elementary School,Camp Sherman,Jefferson,Black Butte SD 41,Jefferson ESD,Public,Yes,"4, 5, 6, 7, 8",Coastal Discovery Center at Camp Gray,5,4,"Yes, and it CONNECTS TO STATE STANDARDS",14,Yes,No,No,No,No,Yes,No,No,0.667,0.556,0.667,,0.885,-121.6540575,44.444872,Coastal Discovery Center at Camp Gray,,,,
Blanchet Catholic School,Salem,Marion,Private,Private,Private,Yes,"",Camp Westwind,4,3,"Yes, and it CONNECTS TO STATE STANDARDS",28,,,,,,,,,,,,,,-122.9773669,44.9517102,Camp Westwind,,,,
Bohemia Elementary School,Cottage Grove,Lane,South Lane SD 45J3,Lane ESD,Public,No,"",,,,,,,,,,,,,,0.43200000000000005,0.377,0.8220000000000001,0.7199,0.757,-123.0768864,43.7929127,,,,,
Boise-Eliot Elementary School,Portland,Multnomah,Portland SD 1J,Multnomah ESD,Public,Yes,6,"Camp Arrah Wanna,Camp Namanu",6,5,"Yes, and it CONNECTS TO STATE STANDARDS",46,Yes,No,No,Yes,No,No,No,No,0.242,0.19,0.366,0.8262,0.154,-122.672734,45.5478626,Camp Arrah Wanna,Camp Namanu,,,
Bonanza Elementary School,Bonanza,Klamath,Klamath County SD,Southern Oregon ESD,Public,Yes,6,Klamath Outdoor Science School,4,3,"Yes, and it CONNECTS TO STATE STANDARDS",30,Yes,No,No,Yes,No,Yes,Yes,No,0.392,0.359,0.415,0.7273000000000001,0.636,-121.4042526,42.1994677,Klamath Outdoor Science School,,,,
Bonny Slope Elementary School,Portland,Washington,Beaverton SD 48J,Northwest Regional ESD,Public,Yes,5,Trickle Creek,3,2,"Yes, and it CONNECTS TO STATE STANDARDS",118,,,,,,,,,0.826,0.787,0.897,,0.613,-122.7976087,45.5396984,Trickle Creek,,,,
Boones Ferry Primary School,Wilsonville,Clackamas,West Linn-Wilsonville SD 3J,Clackamas ESD,Public,Yes,5,Hancock Field Station,3,2,"Yes, and it CONNECTS TO STATE STANDARDS",105,Yes,No,No,Yes,No,Yes,No,No,0.611,0.535,0.789,0.44780000000000003,0.682,-122.7934965,45.3001405,Hancock Field Station,,,,
Boring Middle School,Boring,Clackamas,Oregon Trail SD 46,Clackamas ESD,Public,No,"",,,,,,,,,,,,,,0.688,0.486,0.728,0.3375,0.79,-122.3774099,45.4321813,,,,,
Bridger K-8 School,Portland,Multnomah,Portland SD 1J,Multnomah ESD,Public,Yes,6,"Camp Howard,Camp Namanu",6,5,"Yes, and it CONNECTS TO STATE STANDARDS",34,Yes,No,No,Yes,No,No,No,No,0.34299999999999997,0.249,0.418,0.544,0.37200000000000005,-122.5822227,45.5104388,Camp Howard,Camp Namanu,,,
Briggs Middle School,Springfield,Lane,Springfield SD 19,Lane ESD,Public,Yes,"3, 4, 5",Grove Christian Camp,2,1,,180,,,,,,,,,0.47200000000000003,0.337,0.462,0.5768,0.72,-122.9905617,44.0716379,Grove Christian Camp,,,,
Brighton Academy,Grants Pass,Josephine,Private,Private,Private,No,"",,,,,,,,,,,,,,,,,,,-123.3197464,42.4493777,,,,,
Brookings Harbor Christian School,Brookings,Curry,Private,Private,Private,No,"",,,,,,,,,,,,,,,,,,,-124.3011797,42.0633006,,,,,
Brookwood Elementary School,Hillsboro,Washington,Hillsboro SD 1J,Northwest Regional ESD,Public,Yes,6,Camp Magruder,3,2,"Yes, and it CONNECTS TO STATE STANDARDS",56,,,,,,,,,0.442,0.342,0.509,0.6271,0.525,-122.9420891,45.5152306,Camp Magruder,,,,
Brush College Elementary School,Salem,Polk,Salem-Keizer SD 24J,Willamette ESD,Public,Yes,5,Canyonview Camp,3,2,,40,,,,,,,,,0.595,0.5,0.703,0.46020000000000005,0.6709999999999999,-123.0773579,44.9723023,Canyonview Camp,,,,
Buckingham Elementary School,Bend,Deschutes,Bend-La Pine Admin SD 1,High Desert ESD,Public,Yes,5,Camp Tamarack,3,2,"Yes, and it CONNECTS TO STATE STANDARDS",93,Yes,No,No,Yes,No,No,No,No,0.635,0.616,0.835,0.4072,,-121.241825,44.071793,Camp Tamarack,,,,
Buckman Elementary School,Portland,Multnomah,Portland SD 1J,Multnomah ESD,Public,Yes,5,Coastal Discovery Center at Camp Gray,3,2,"Yes, and it CONNECTS TO STATE STANDARDS",68,Yes,No,No,,,,,,0.635,0.541,0.82,0.3166,0.688,-122.6489338,45.5204053,Coastal Discovery Center at Camp Gray,,,,
Buena Vista Elementary School,Eugene,Lane,Eugene SD 4J,Lane ESD,Public,No,"",,,,,,,,,,,,,,0.585,0.514,0.88,0.3132,0.5660000000000001,-123.076188,44.0791472,,,,,
Burns Alternative School,Burns,Harney,Harney County SD 3,Harney ESD,Public,No,"",,,,,,,,,,,,,,,,,,1,-119.0577893,43.5902632,,,,,
Burnt River School,Unity,Baker,Burnt River SD 30J,InterMountain ESD,Public,No,"",Camp Baker,,,,,,,,,,,,,0.5710000000000001,0.28600000000000003,0.444,,0.794,-118.1932268,44.4404929,Camp Baker,,,,
Bush Elementary School,Salem,Marion,Salem-Keizer SD 24J,Willamette ESD,Public,No,"",,,,,,,,,,,,,,0.244,0.205,0.44,0.6859000000000001,0.401,-123.025411,44.9331,,,,,
Butler Creek Elementary School,Portland,Multnomah,Centennial SD 28J,Multnomah ESD,Public,No,"",,,,,,,,,,,,,,0.5529999999999999,0.508,0.76,0.47609999999999997,0.591,-122.4584719,45.4725449,,,,,
Butte Creek Elementary School,Mt Angel,Marion,Silver Falls SD 4J,Willamette ESD,Public,Yes,"",Camp Westwind,4,3,"Yes, and it CONNECTS TO STATE STANDARDS",28,Yes,No,No,Yes,Yes,No,No,No,0.606,0.46299999999999997,0.7140000000000001,0.4796,0.787,-122.6994538,45.0634508,Camp Westwind,,,,
Butternut Creek Elementary School,Aloha,Washington,Hillsboro SD 1J,Northwest Regional ESD,Public,Yes,6,Camp Magruder,3,2,"Yes, and it CONNECTS TO STATE STANDARDS",57,,,,,,,,,0.38799999999999996,0.311,0.8420000000000001,0.5644,0.562,-122.887595,45.486929,Camp Magruder,,,,
Cairo Elementary School,Ontario,Malheur,Ontario SD 8C,Malheur ESD Region 14,Public,No,"",,,,,,,,,,,,,,0.34600000000000003,0.26899999999999996,0.44,0.7852,0.315,-117.0122754,43.9878004,,,,,
Calapooia Middle School,Albany,Linn,Greater Albany Public SD 8J,Linn Benton Lincoln ESD,Public,No,"",,,,,,,,,,,,,,0.429,0.22399999999999998,0.555,0.6243,0.6509999999999999,-123.0926135,44.6179757,,,,,
Camas Ridge Community Elementary School,Eugene,Lane,Eugene SD 4J,Lane ESD,Public,Yes,"1, 2, 3",Camp Tadmor,3,2,,160,,,,,,,,,0.62,0.5,0.782,0.4279,0.7120000000000001,-123.076456,44.024961,Camp Tadmor,,,,
Camas Valley School,Camas Valley,Douglas,Camas Valley SD 21J,Douglas ESD,Public,No,"",,,,,,,,,,,,,,0.524,0.35,0.5579999999999999,0.602,0.862,-123.6747569,43.0344564,,,,,
Candalaria Elementary School,Salem,Marion,Salem-Keizer SD 24J,Willamette ESD,Public,Yes,5,Canyonview Camp,3,2,,67,,,,,,,,,0.696,0.625,0.8959999999999999,0.2727,0.8009999999999999,-123.0581507,44.9126006,Canyonview Camp,,,,
Canyonville Adventist Elementary School,Canyonville,Douglas,Private,Private,Private,No,"",,,,,,,,,,,,,,,,,,,-123.2811748,42.9273406,,,,,
Canyonville School,Canyonville,Douglas,South Umpqua SD 19,Douglas ESD,Public,No,"",,,,,,,,,,,,,,0.39399999999999996,0.263,0.5,0.7981,0.779,-123.2796699,42.9282548,,,,,
Carden Cascade Academy,Hillsboro,Washington,Private,Private,Private,No,"",,,,,,,,,,,,,,,,,,,-122.9769533,45.543586,,,,,
Carus School,Oregon City,Clackamas,Canby SD 86,Clackamas ESD,Public,Yes,6,Hancock Field Station,5,4,"Yes, and it CONNECTS TO STATE STANDARDS",46,Yes,Yes,No,No,Yes,No,No,No,0.484,0.466,0.556,0.4454,0.7879999999999999,-122.571908,45.270742,Hancock Field Station,,,,
Cascade Heights Public Charter School,Clackamas,Clackamas,North Clackamas SD 12,Clackamas ESD,Public,Yes,6,,5,4,"Yes, and it CONNECTS TO STATE STANDARDS",22,Yes,Yes,No,No,No,Yes,Yes,No,0.557,0.5660000000000001,0.7829999999999999,0.1435,0.745,-122.5700502,45.4120796,None,,,,
Cascade Junior High School,Turner,Marion,Cascade SD 5,Willamette ESD,Public,Yes,6,Camp Tadmor,5,4,"Yes, and it CONNECTS TO STATE STANDARDS",160,No,Yes,No,No,No,Yes,No,No,0.598,0.457,0.7020000000000001,0.444,0.758,-122.916768,44.809194,Camp Tadmor,,,,
Cascade Middle School,Eugene,Lane,Bethel SD 52,Lane ESD,Public,No,"",,,,,,,,,,,,,,0.583,0.41600000000000004,0.6779999999999999,0.7381,0.667,-123.1665926,44.0788785,,,,,
Cascades Academy,Bend,Deschutes,Private,Private,Private,No,"",,,,,,,,,,,,,,,,,,,-121.3320451,44.1331652,,,,,
Cathedral School,Portland,Multnomah,Private,Private,Private,Yes,6,Camp Namanu,6,5,"Yes, and it CONNECTS TO STATE STANDARDS",28,Yes,No,No,Yes,No,No,No,No,,,,,,-122.6877289,45.523931,Camp Namanu,,,,
Catlin Gabel School,Portland,Washington,Private,Private,Private,Yes,"3, 4, 5, 6, 7, 8",Hancock Field Station,4,3,"Yes, and it CONNECTS TO STATE STANDARDS",16,,,,,,,,,,,,,,-122.7674818,45.5099948,Hancock Field Station,,,,
Cedar Park Middle School,Portland,Washington,Beaverton SD 48J,Northwest Regional ESD,Public,Yes,6,"Cedar Ridge,Trickle Creek",3,2,"Yes, and it CONNECTS TO STATE STANDARDS",310,Yes,Yes,No,Yes,No,No,No,No,0.6659999999999999,0.562,,0.2553,0.614,-122.7924259,45.5062072,Cedar Ridge,Trickle Creek,,,
Cedar Ridge Middle School,Sandy,Clackamas,Oregon Trail SD 46,Clackamas ESD,Public,No,"",,,,,,,,,,,,,,0.585,0.444,0.8079999999999999,0.4357,0.759,-122.260455,45.399368,,,,,
Cedarwood Waldorf School,Portland,Multnomah,Private,Private,Private,Yes,6,Camp Namanu,5,4,"Yes, but it DOES NOT CONNECT TO STATE STANDARDS",25,Yes,Yes,No,Yes,No,Yes,No,No,,,,,,-122.6795537,45.5014153,Camp Namanu,,,,
Centennial Elementary School,Springfield,Lane,Springfield SD 19,Lane ESD,Public,No,"",,,,,,,,,,,,,,0.47,0.466,0.9009999999999999,0.7482,0.642,-123.0414661,44.0577318,,,,,
Central Elementary School,Albany,Linn,Greater Albany Public SD 8J,Linn Benton Lincoln ESD,Public,Yes,"5, 6",Coastal Discovery Center at Camp Gray,3,2,"Yes, and it CONNECTS TO STATE STANDARDS",39,Yes,No,No,Yes,No,Yes,No,No,0.433,0.36700000000000005,0.644,0.5782,0.782,-123.1066685,44.6304379,Coastal Discovery Center at Camp Gray,,,,
Central Howell Elementary School,Silverton,Marion,Silver Falls SD 4J,Willamette ESD,Public,Yes,"",Camp Westwind,4,3,"Yes, and it CONNECTS TO STATE STANDARDS",17,,,,,,,,,0.642,0.5379999999999999,0.758,,0.8640000000000001,-122.8799557,44.9909049,Camp Westwind,,,,
Central Linn Elementary School,Halsey,Linn,Central Linn SD 552,Linn Benton Lincoln ESD,Public,Yes,6,Camp Koinonia,4,3,"Yes, and it CONNECTS TO STATE STANDARDS",58,Yes,No,No,No,No,Yes,No,No,0.5329999999999999,0.546,0.872,0.65,0.835,-123.1113335,44.3872748,Camp Koinonia,,,,
Central Point Elementary School,Central Point,Jackson,Central Point SD 6,Southern Oregon ESD,Public,Yes,5,,3,2,,90,,,,,,,,,0.381,0.285,0.54,0.6292,0.713,-122.9117818,42.3719789,,,,,
Central Valley Christian School,Tangent,Linn,Private,Private,Private,Yes,6,,3,4,,4,,,,,,,,,,,,,,-123.1242531,44.5609881,,,,,
Cesar Chavez Elementary School,Eugene,Lane,Eugene SD 4J,Lane ESD,Public,No,"",,,,,,,,,,,,,,0.451,0.292,0.667,0.7743000000000001,0.511,-123.1155581,44.0428833,,,,,
Cesar Chavez K-8 School,Portland,Multnomah,Portland SD 1J,Multnomah ESD,Public,Yes,6,Camp Howard,6,5,"Yes, and it CONNECTS TO STATE STANDARDS",23,Yes,No,No,Yes,No,No,No,No,0.251,0.17800000000000002,0.233,0.875,0.16699999999999998,-122.7193848,45.5844654,Camp Howard,,,,
