School Name – City,School Name,District,ESD,Sister school,Street Address,City,State,Zip,County,Phone,Lowest grade,Highest grade,Grade level,Governance,Type of school,State ID,Contact person role,Contact person name,Email,ODS notes,"If your school is not listed above, please enter its name below.",Did your school participate in Outdoor School in the 2016-2017 school year?,How many students from your school participated in Outdoor School in the 2016-2017 school year?,Which grades participated in Outdoor School in the 2016-2017 school year?,Which camp or camps did students at your school attend for Outdoor School in the 2016-2017 school year?,How many DAYS does your Outdoor School program last?,How many NIGHTS does your Outdoor School program last?,Which provider(s) do you contract with to plan your Outdoor School experience?,Does your Outdoor School program have an academic component?,Who develops the curriculum that you use for Outdoor School?,"In addition to classroom teachers, who do you use to staff your Outdoor School program?",To what degree are you able to make accommodations to ensure that the Outdoor School program is accessible for all students?,How many years has your school sent students to Outdoor School?,Has your school sent students to Outdoor School prior to the 2016-2017 school year?,When was the last time that students participated in Outdoor School?,Which camp or camps did students attend the last time your school participated in Outdoor School?,Why did your school stop sending students to Outdoor School?,Is your school interested in starting an Outdoor School program in the future?,When do you think your might be ready to start an Outdoor School program?,"How familiar, if at all, are you with Measure 99, which passed in November 2016 and dedicates funding to schools to send students to Outdoor School?","How familiar, if at all, are you with the role that Oregon State Extension plays in funding Outdoor School programs?",Do you have any other comments about Outdoor School?,Notes,2015-16 Total Enrollment,2016-17 Total Enrollment,2016-17  Male,"2016-17 
% Male",2016-17 Female,"2016-17
% Female",2016-17 American Indian/ Alaska Native,"2016-17
% American Indian/ Alaska Native ",2016-17 Asian,"2016-17
% Asian ",2016-17 Native Hawaiian/ Pacific Islander,"2016-17 
% Native Hawaiian/ Pacific Islander ",2016-17 Black/African American,"2016-17
% Black/ African American ",2016-17 Hispanic/ Latino,"2016-17
% Hispanic/ Latino",2016-17 White,"2016-17 
% White ",2016-17 Multiracial,"2016-17
% Multiracial ",2016-17 Kindergarten,2016-17 Grade One,2016-17 Grade Two,2016-17 Grade Three,2016-17 Grade Four,2016-17 Grade Five,2016-17 Grade Six,2016-17 Grade Seven,2016-17 Grade Eight,2016-17 Grade Nine,2016-17 Grade Ten,2016-17 Grade Eleven,2016-17 Grade Twelve,Done,Sister school (opposite direction)
Agia Sophia Academy – Beaverton,Agia Sophia Academy,,,,14485 SW Walker Rd,Beaverton,OR,97006,Washington,503-641-4600,PK,5,Elementary,Private,Regular School,,,,schooloffice@asapdx.org,,,No,,,,,,,,,,,,No,,,,VERY interested,Not sure at this point,NOT AT ALL FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,We are a small school - 50 students total.  We'd love to partner with other small schools to make outdoor school affordable / possible for us :),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
Agnes Stewart Middle School – Springfield,Agnes Stewart Middle School,Springfield SD 19,Lane ESD,,900 S 32nd St,Springfield,OR,97478,Lane,541-988-2520,6,8,Middle,Public,Regular School,1353,Principal,Jeff Fuller,jeff.fuller@springfield.k12.or.us,,,Yes,200,6th grade,Kiwanis Sky Camp,2,0,Whole Earth Nature School,"Yes, and it CONNECTS TO STATE STANDARDS",combination of the two,"Program provider staff, State agency or community resource experts (e.g. watershed council personnel or Fish & Wildlife staff), Parent volunteers",We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,1,,,,,,,A BIT FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,,,578,588,309,52.6%,279,47.4%,5,0.9%,5,0.9%,,0%,4,0.7%,149,25.3%,380,64.6%,45,7.7%,,,,,,,206,192,190,,,,,true,
Aiken Elementary School – Ontario,Aiken Elementary School,Ontario SD 8C,Malheur ESD Region 14,,1297 W Idaho Ave,Ontario,OR,97914,Malheur,541-889-5584,K,5,Elementary,Public,Regular School,694,Principal,Tobey Huddleston,thuddleston@ontario.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,284,305,167,54.8%,138,45.2%,1,0.3%,,0%,,0%,6,2%,188,61.6%,96,31.5%,14,4.6%,46,50,53,56,50,50,,,,,,,,false,
Ainsworth Elementary School – Portland,Ainsworth Elementary School,Portland SD 1J,Multnomah ESD,,2425 SW Vista Ave,Portland,OR,97201,Multnomah,503-916-6288,K,5,Elementary,Public,Regular School,823,Principal,Kris Meyer,kmeyer@pps.net,,,,,,,,,,,,,,,,,,,,,,,,,599,605,306,50.6%,299,49.4%,,0%,48,7.9%,,0%,3,0.5%,98,16.2%,395,65.3%,61,10.1%,109,96,111,100,106,83,,,,,,,,false,
Alameda Elementary School – Ontario,Alameda Elementary School,Ontario SD 8C,Malheur ESD Region 14,,1252 Alameda Dr,Ontario,OR,97914,Malheur,541-889-5497,K,6,Elementary,Public,Regular School,692,Principal,Andrea Buchholz,abuchholtz@ontario.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,391,403,196,48.6%,207,51.4%,2,0.5%,1,0.2%,1,0.2%,5,1.2%,240,59.6%,148,36.7%,6,1.5%,54,61,59,55,49,48,77,,,,,,,false,
Alameda Elementary School – Portland,Alameda Elementary School,Portland SD 1J,Multnomah ESD,,2732 NE Fremont St,Portland,OR,97212,Multnomah,503-916-6036,K,5,Elementary,Public,Regular School,824,Principal,Raddy Lurie,rlurie@pps.net,,,,,,,,,,,,,,,,,,,,,,,,,731,747,403,53.9%,344,46.1%,,0%,8,1.1%,,0%,9,1.2%,39,5.2%,628,84.1%,63,8.4%,121,115,129,137,127,118,,,,,,,,false,
Albany Christian School – Albany,Albany Christian School,,,,420 3rd Ave SE,Albany,OR,97321,Linn,541-928-1110,K,8,Other,Private,Regular School,,,,office@albanychristian.org,,,No,,,,,,,,,,,,No,,,,NOT AT ALL interested,Not sure at this point,NOT AT ALL FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,I don't really know a whole lot about it.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
Alberta Rider Elementary School – Tigard,Alberta Rider Elementary School,Tigard-Tualatin SD 23J,Northwest Regional ESD,,14850 SW 132nd Ter,Tigard,OR,97224,Washington,503-431-4900,K,5,Elementary,Public,Regular School,4364,Principal,Rory Moore,rmoore@ttsd.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,587,594,308,51.9%,286,48.1%,5,0.8%,82,13.8%,4,0.7%,12,2%,97,16.3%,354,59.6%,40,6.7%,78,93,78,106,115,124,,,,,,,,false,
Alder Creek Middle School – Milwaukie,Alder Creek Middle School,North Clackamas SD 12,Clackamas ESD,,13801 SE Webster Rd,Milwaukie,OR,97267,Clackamas,503-353-5700,6,8,Middle,Public,Regular School,3530,Principal,Alyson Brant,branta@nclack.k12.or.us,,,Yes,330,6th grade,"Cedar Ridge, Trickle Creek, Camp Westwind",4,3,Northwest Regional ESD,"Yes, and it CONNECTS TO STATE STANDARDS",We use curriculum developed by an outside provider,"Program provider staff, High school mentors",We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,5,,,,,,,SOMEWHAT FAMILIAR with Measure 99,A BIT FAMILIAR with the role OSU Extension plays,,,988,972,489,50.3%,483,49.7%,11,1.1%,28,2.9%,5,0.5%,13,1.3%,233,24%,619,63.7%,63,6.5%,,,,,,,348,312,312,,,,,true,
Alder Elementary School – Portland,Alder Elementary School,Reynolds SD 7,Multnomah ESD,,17200 SE Alder St,Portland,OR,97233,Multnomah,503-255-4673,K,5,Elementary,Public,Regular School,943,Principal,Michael Clutter,MClutter@rsd7.net,,,No,,,,,,,,,,,,I'm not sure,,,,VERY interested,2018/2019 school year,A BIT FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,,,492,510,275,53.9%,235,46.1%,5,1%,33,6.5%,22,4.3%,60,11.8%,281,55.1%,80,15.7%,29,5.7%,86,93,75,78,89,89,,,,,,,,false,
Alice Ott Middle School – Portland,Alice Ott Middle School,David Douglas SD 40,Multnomah ESD,,12500 SE Ramona St,Portland,OR,97236,Multnomah,503-256-6510,6,8,Middle,Public,Regular School,980,Principal,James Johnston,james_johnston@ddouglas.k12.or.us,,,Yes,176,,Camp Arrah Wanna,3,2,Multnomah County ESD,"Yes, and it CONNECTS TO STATE STANDARDS",Multnomah ESD,,,,,,,,,,,,,,740,717,336,46.9%,381,53.1%,3,0.4%,116,16.2%,11,1.5%,70,9.8%,130,18.1%,319,44.5%,68,9.5%,,,,,,,229,235,253,,,,,true,
All Saints School – Portland,All Saints School,,,,601 NE Cesar E Chavez Blvd,Portland,OR,97232,Multnomah,503-236-6205,PK,8,Other,Private,Regular School,,,,office@allsaintsportland.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
Allen Dale Elementary School – Grants Pass,Allen Dale Elementary School,Grants Pass SD 7,Southern Oregon ESD,,2320 Williams Hwy,Grants Pass,OR,97527,Josephine,541-474-5760,K,5,Elementary,Public,Regular School,435,Principal,Jake Musser,jlmusser@grantspass.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,496,462,228,49.4%,234,50.6%,3,0.6%,2,0.4%,1,0.2%,1,0.2%,52,11.3%,370,80.1%,33,7.1%,75,75,70,80,90,72,,,,,,,,false,
Alliance Charter Academy – Oregon City,Alliance Charter Academy,Oregon City SD 62,Clackamas ESD,,16075 S Front Ave,Oregon City,OR,97045,Clackamas,503-785-8556,K,12,Other,Public,Charter School,4585,Principal,Nicholas Chapin,nicchapin@aca.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,389,388,191,49.2%,197,50.8%,2,0.5%,7,1.8%,,0%,,0%,24,6.2%,332,85.6%,23,5.9%,14,15,29,21,29,21,31,32,40,45,29,41,41,false,
Aloha-Huber Park School – Aloha,Aloha-Huber Park School,Beaverton SD 48J,Northwest Regional ESD,,5000 SW 173rd St,Aloha,OR,97078,Washington,503-356-2000,PK,8,Other,Public,Regular School,1153,Principal,Scott Drue,scott_drue@beaverton.k12.or.us,,,Yes,56,6th grade,Camp Magruder,4,3,Northwest Regional ESD,"Yes, and it CONNECTS TO STATE STANDARDS","School staff develop the curriculum, We use curriculum developed by an outside provider","Program provider staff, School administrators",We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,6,,,,,,,A BIT FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,"ODS has been a very important program to our schooI. It offers unique and enriching opportunities to our high poverty, culturally diverse, and high achieving student population. It is among the most memorable experiences for our students when they graduate.",,1011,975,515,52.8%,460,47.2%,3,0.3%,55,5.6%,2,0.2%,63,6.5%,553,56.7%,252,25.8%,47,4.8%,111,136,138,134,135,139,64,60,58,,,,,true,
Alsea Elementary School – Alsea,Alsea Elementary School,Alsea SD 7J,Linn Benton Lincoln ESD,,301 3rd St,Alsea,OR,97324,Benton,541-487-4305,K,6,Elementary,Public,Regular School,16,Principal,Marc Thielman,marc.thielman@alsea.k12.or.us,"Group of schools that all work together to plan ODS: Hamilton Creek, Lebanon; Lacomb, Lebanon; Monroe Grade School, Monroe; Scio Middle School, Scio; Zion Lutheran School, Corvallis; Alsea Elementary",,Yes,9,6th grade,Camp Tadmor,5,4,Coast Range Natural Resource Education Organization,"Yet, but it DOES NOT CONNECT TO STATE STANDARDS","Teachers and professionals from the BLM, Forest Service, Benton County Soils, OSU, ODF&W,  and volunteers plan and teach classes","State agency or community resource experts (e.g. watershed council personnel or Fish & Wildlife staff), Parent volunteers, High school mentors",We are ABLE TO MAKE SOME accommodations so our program is accessible for all students,26,,,,,,,A BIT FAMILIAR with Measure 99,A BIT FAMILIAR with the role OSU Extension plays,"Our organization has worked well for 26 years and made changes as the need has arisen.  We are meeting this summer to make sure more of our classes meet standards and doing some tweaking if necessary as we have done for years.  We hope that we don't have somebody come in and tell us we must change our system.  We have a pretty strong team of six schools who have worked well together for many years.  Please feel free to call, if you would like more information or if I can answer questions.",,65,73,33,45.2%,40,54.8%,,0%,,0%,,0%,,0%,7,9.6%,63,86.3%,3,4.1%,12,4,12,14,10,12,9,,,,,,,false,
Amity Creek Elementary School – Bend,Amity Creek Elementary School,Bend-La Pine Admin SD 1,High Desert ESD,,437 NW Wall St,Bend,OR,97701,Deschutes,541-355-2800,K,5,Elementary,Public,Regular School,1324,Principal,Andrew Slavin,andy.slavin@bend.k12.or.us,,,Yes,28,5th grade,Camp Tamarack,3,2,Camp Tamarack,"Yes, and it CONNECTS TO STATE STANDARDS",We use curriculum developed by an outside provider,Program provider staff,,,,,,,,,,,,,176,170,83,48.8%,87,51.2%,,0%,4,2.4%,,0%,2,1.2%,8,4.7%,149,87.6%,7,4.1%,25,25,30,28,32,30,,,,,,,,false,
Amity Elementary School – Amity,Amity Elementary School,Amity SD 4J,Willamette ESD,,300 Rice Ln,Amity,OR,97101,Yamhill,503-835-3751,K,5,Elementary,Public,Regular School,1208,Principal,Danielle Ludwick,danielle.ludwick@amity.k12.or.us,,,Yes,56,5th grade,LaPine State Park,6,5,"Self, Oregon Coast Aquarium, Coast Guard, Marine Hatfield Science Center, High Desert Museum, Newbery National Volcano Monument","Yes, and it CONNECTS TO STATE STANDARDS",School staff develop the curriculum,"Parent volunteers, High school mentors, People at places we visit.",We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,30,,,,,,,A BIT FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,I have directed our program for over 20 years and see it as highly successful and valuable as a part of our educational program.  I am excited that there may be help funding the program as our students fundraise the total cost for our program.,,339,348,177,50.9%,171,49.1%,3,0.9%,1,0.3%,,0%,2,0.6%,49,14.1%,278,79.9%,15,4.3%,59,47,52,63,70,57,,,,,,,,true,
Amity Middle School – Amity,Amity Middle School,Amity SD 4J,Willamette ESD,,115 Church St,Amity,OR,97101,Yamhill,503-835-0518,6,8,Middle,Public,Regular School,1209,Principal,David Lund,david.lund@amity.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,188,187,106,56.7%,81,43.3%,1,0.5%,2,1.1%,1,0.5%,,0%,29,15.5%,147,78.6%,7,3.7%,,,,,,,60,60,67,,,,,false,
Annex Charter School – Ontario,Annex Charter School,Annex SD 29,Malheur ESD Region 14,,402 Annex Rd,Ontario,OR,97914-8010,Malheur,541-262-3280,K,8,Other,Public,Charter,705,Principal,Steve Bishop,steve.bishop@annex.k12.or.us,,,No,,,,,,,,,,,,No,,,,Yes,Not sure at this point,NOT AT ALL FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,,,76,73,38,52.1%,35,47.9%,,0%,,0%,,0%,,0%,27,37%,41,56.2%,5,6.8%,6,8,12,11,7,7,10,5,7,,,,,false,
Antonia Crater Elementary School – Newberg,Antonia Crater Elementary School,Newberg SD 29J,Willamette ESD,,203 W Foothills Dr,Newberg,OR,97132,Yamhill,503-554-4650,K,5,Elementary,Public,Regular School,1335,Principal,Troy Fisher,fishert@newberg.k12.or.us,,,Yes,,,Twin Rocks Friends Conference,,,,,,,,,,,,,,,,,,,438,436,224,51.4%,212,48.6%,1,0.2%,4,0.9%,2,0.5%,3,0.7%,46,10.6%,357,81.9%,23,5.3%,64,53,76,84,83,76,,,,,,,,false,
Applegate Elementary School – Applegate,Applegate Elementary School,Three Rivers/Josephine County SD,Southern Oregon ESD,,14188 Hwy 238,Applegate,OR,97530,Josephine,541-846-6280,K,8,Elementary,Public,Regular School,402,Principal,Darrell Erb,darrell.erb@threerivers.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,102,102,56,54.9%,46,45.1%,2,2%,,0%,,0%,,0%,10,9.8%,85,83.3%,5,4.9%,8,5,16,5,12,10,19,19,8,,,,,false,
Applegate Elementary School – Eugene,Applegate Elementary School,Crow-Applegate-Lorane SD 66,Lane ESD,,85955 Territorial Rd,Eugene,OR,97402,Lane,541-935-2100,K,6,Elementary,Public,Regular School,589,Principal,Aaron Brown,abrown@cal.k12.or.us,,,No,,,,,,,,,,,,No,,,,SOMEWHAT interested,2018/2019 school year,SOMEWHAT FAMILIAR with Measure 99,SOMEWHAT FAMILIAR with the role OSU Extension plays,This would be nice if funding is available and the time to organize the activity.,,128,119,57,47.9%,62,52.1%,1,0.8%,2,1.7%,,0%,,0%,8,6.7%,103,86.6%,5,4.2%,15,15,22,13,15,22,17,,,,,,,false,
Arata Creek School – Troutdale,Arata Creek School,,Multnomah ESD,,2470 SW Halsey,Troutdale,OR,97060,Multnomah,503-262-4850,K,12,Other,Public,Alternative School,3168,Principal,Joni Tolon,joni_tolon@mesd.k12.or.us,,,Yes,5,"5th grade, 6th grade, 7th grade",camp in Estacada,5,4,Multnomah County ESD,"Yes, and it CONNECTS TO STATE STANDARDS",School staff develop the curriculum,Group home staff,We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,15,,,,,,,VERY FAMILIAR with Measure 99,VERY FAMILIAR with the role OSU Extension plays,,,31,45,42,93.3%,3,6.7%,1,2.2%,,0%,,0%,7,15.6%,3,6.7%,30,66.7%,4,8.9%,,4,5,4,5,4,7,7,6,3,,,,false,
Arbor School Of Arts & Sciences – Tualatin,Arbor School Of Arts & Sciences,,,,4201 SW Borland Rd,Tualatin,OR,97062,Clackamas,503-638-6399,K,8,Other,Private,Regular School,,,,info@arborschool.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
St Rose School – Portland,St Rose School,,,,5309 NE Alameda St,Portland,OR,97213,Multnomah,503-281-1912,PK,8,Other,Private,Regular School,,,,kasbury@strosepdx.org,,St. Rose School (formerly Archbishop Howard School,Yes,28,6th grade,Camp Namanu,6,5,Multnomah County ESD,"Yes, and it CONNECTS TO STATE STANDARDS",We use curriculum developed by an outside provider,Program provider staff,We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,22,,,,,,,VERY FAMILIAR with Measure 99,SOMEWHAT FAMILIAR with the role OSU Extension plays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,
Archer Glen Elementary School – Sherwood,Archer Glen Elementary School,Sherwood SD 88J,Northwest Regional ESD,,16155 SW Sunset Blvd,Sherwood,OR,97140,Washington,503-825-5100,K,5,Elementary,Public,Regular School,1334,Principal,Tim Smith,tasmith@sherwood.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,525,541,289,53.4%,252,46.6%,2,0.4%,10,1.8%,1,0.2%,5,0.9%,45,8.3%,453,83.7%,25,4.6%,62,106,85,97,91,100,,,,,,,,false,
Arco Iris Spanish Immersion School – Portland,Arco Iris Spanish Immersion School,Beaverton SD 48J,Northwest Regional ESD,,13600 SW Allen Blvd,Portland,OR,97005,Washington,503-473-0416,1,8,Other,Public,Charter,4805,Principal,Erin Miles,erin.miles@arcoirisschool.org,,,Yes,24,6th grade,Cedar Ridge,4,3,Northwest Regional ESD,"Yes, and it CONNECTS TO STATE STANDARDS",,,,,,,,,,,,,,,263,299,136,45.5%,163,54.5%,2,0.7%,9,3%,3,1%,5,1.7%,115,38.5%,133,44.5%,32,10.7%,,56,51,50,49,44,24,14,11,,,,,true,
Ardenwald Elementary School – Milwaukie,Ardenwald Elementary School,North Clackamas SD 12,Clackamas ESD,,8950 SE 36th St,Milwaukie,OR,97222,Clackamas,503-353-5320,K,5,Elementary,Public,Regular School,4762,Principal,Karon Webster,websterk@nclack.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,486,442,240,54.3%,202,45.7%,2,0.5%,7,1.6%,2,0.5%,3,0.7%,94,21.3%,302,68.3%,32,7.2%,71,87,66,76,81,61,,,,,,,,false,
Arleta K-8 School – Portland,Arleta K-8 School,Portland SD 1J,Multnomah ESD,,"5109 SE 66th Ave,",Portland,OR,97206,Multnomah,503-916-6330,K,8,Other,Public,Regular School,826,Principal,Seth Jones,sjones3@pps.net,,,Yes,39,,"Camp Arrah Wanna, Camp Howard",6,5,Multnomah County ESD,"Yes, and it CONNECTS TO STATE STANDARDS",Multnomah ESD,,,50,,,,,,,,,,,456,457,226,49.5%,231,50.5%,5,1.1%,46,10.1%,,0%,17,3.7%,73,16%,274,60%,42,9.2%,63,47,49,64,57,52,42,34,49,,,,,true,
Arlington Community Charter School – Arlington,Arlington Community Charter School,Arlington SD 3,North Central ESD,,1200 Main St,Arlington,OR,97812,Gilliam,541-454-2632,K,12,Other,Public,Regular School,323,Principal,Kevin Hunking,khunking@arlington.k12.or.us,,,Yes,26,6th grade,Tupper Workstation,5,4,,"Yes, and it CONNECTS TO STATE STANDARDS",School staff develop the curriculum,"State agency or community resource experts (e.g. watershed council personnel or Fish & Wildlife staff), High school mentors",We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,,,,,,,,,,,,161,164,89,54.3%,75,45.7%,4,2.4%,,0%,,0%,,0%,25,15.2%,128,78%,7,4.3%,7,14,11,10,14,11,19,9,10,12,13,15,19,false,
