"","school","participation","district","esd","governance","ods.fifth.grade","ods.sixth.grade","number.of.students","camp.attended","days","nights","academic.component","accommodations","lon","lat"
"19","Alsea Elementary School","Yes","Alsea SD 7J","Linn Benton Lincoln ESD","Public",0,1,9,"Camp Tadmor","5","4","Yet, but it DOES NOT CONNECT TO STATE STANDARDS","We are ABLE TO MAKE SOME accommodations so our program is accessible for all students",-123.5946008,44.3812429
"20","Amity Creek Elementary School","Yes","Bend-La Pine Admin SD 1","High Desert ESD","Public",1,0,28,"Camp Tamarack","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-121.3180828,44.0552024
"21","Amity Elementary School","Yes","Amity SD 4J","Willamette ESD","Public",1,0,56,"LaPine State Park","6","5","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-123.203213,45.122507
"22","Annex Charter School","No","Annex SD 29","Malheur ESD Region 14","Public",0,0,NA,NA,NA,NA,NA,NA,-116.987087,44.237356
"23","Antonia Crater Elementary School","Yes","Newberg SD 29J","Willamette ESD","Public",1,0,80,"Twin Rocks Friends Conference","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.9796458,45.3251977
"24","Applegate Elementary School","No","Three Rivers/Josephine County SD","Southern Oregon ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.153396,42.254531
"25","Applegate Elementary School","No","Crow-Applegate-Lorane SD 66","Lane ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.33651,43.990263
"26","Arata Creek School","Yes","None","Multnomah ESD","Public",1,1,4,"Camp Arrah Wanna","5","4","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.4131516,45.5342963
"27","Arbor School Of Arts & Sciences","No","None",NA,"Private",0,0,NA,NA,NA,NA,NA,NA,-122.7198602,45.3759514
"28","St Rose School","Yes","None",NA,"Private",0,1,28,"Camp Namanu","6","5","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.6080966,45.5423508
"29","Arco Iris Spanish Immersion School","Yes","Beaverton SD 48J","Northwest Regional ESD","Public",0,1,24,"Cedar Ridge","4","3","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.8183344,45.4761261
"30","Arleta K-8 School","Yes","Portland SD 1J","Multnomah ESD","Public",0,1,39,"Camp Arrah Wanna, Camp Howard","6","5","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.5968135,45.486162
"31","Arlington Community Charter School","Yes","Arlington SD 3","North Central ESD","Public",0,1,26,"Tupper Workstation","5","4","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-120.1999591,45.712426
"32","Armadillo Technical Institute","No","Phoenix-Talent SD 4","Southern Oregon ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.8180989,42.2715905
"33","Arthur Academy","Yes","David Douglas SD 40","Multnomah ESD","Public",1,0,24,"Audubon Marmot Cabin","2","1","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.5221382,45.5042727
"34","Arts and Communication Magnet Academy","No","Beaverton SD 48J","Northwest Regional ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.7943591,45.4949521
"35","Ashbrook Independent School","Yes","None",NA,"Private",0,1,16,"Coastal Discovery Center at Camp Gray","5","4","Yes, and it CONNECTS TO STATE STANDARDS",NA,-123.294245,44.5512922
"36","Ashland Middle School","Yes","Ashland SD 5","Southern Oregon ESD","Public",0,1,180,"Mountain Lakes Bible Camp","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE SOME accommodations so our program is accessible for all students",-122.686706,42.192639
"37","Ashwood Elementary School","No","Ashwood SD 8","Jefferson ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-120.7561827,44.7355309
"38","Astor Elementary School","Yes","Portland SD 1J","Multnomah ESD","Public",0,1,46,"Camp Arrah Wanna, Camp Angelos","6","5","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.7296365,45.5786686
"39","Athey Creek Middle School","Yes","West Linn-Wilsonville SD 3J","Clackamas ESD","Public",0,1,220,"Cedar Ridge, Trickle Creek","4","3","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.7064859,45.3776918
"40","Auburn Elementary School","Yes","Salem-Keizer SD 24J","Willamette ESD","Public",1,0,84,"Camp Cascade Conference and Retreat Center","3","2",NA,NA,-122.9709096,44.936211
"41","Azalea Middle School","No","Brookings-Harbor SD 17C","South Coast ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-124.2814747,42.0560617
"42","Baker Web Academy","No","Baker SD 5J","InterMountain ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-117.8383032,44.7840258
"43","Banks Elementary School","Yes","Banks SD 13","Northwest Regional ESD","Public",1,0,87,"Camp Westwind","4","3","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-123.1134114,45.6115762
"44","Battle Creek Elementary School","No","Salem-Keizer SD 24J","Willamette ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.0261548,44.8639659
"45","Bear Creek Elementary School","Yes","Bend-La Pine Admin SD 1","High Desert ESD","Public",1,0,110,"Camp Tamarack","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-121.2874942,44.050533
"46","Beaumont Middle School","Yes","Portland SD 1J","Multnomah ESD","Public",0,1,34,"Canby Grove","6","5","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.6209315,45.548854
"47","Beaver Acres Elementary School","No","Beaverton SD 48J","Northwest Regional ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.853881,45.5045773
"48","Bellview Elementary School","Yes","Ashland SD 5","Southern Oregon ESD","Public",1,0,60,"Coastal Discovery Center at Camp Gray","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.6706822,42.1759369
"49","Bend International School","Yes","Bend-La Pine Admin SD 1","High Desert ESD","Public",1,1,36,"Camp Tamarack, Hancock Field Station","4","3","Yes, and it CONNECTS TO STATE STANDARDS",NA,-121.3083215,44.0880141
"50","Bethany Charter School","Yes","Silver Falls SD 4J","Willamette ESD","Public",1,1,30,"Camp Magruder, Seattle, Coastal Discovery Center at Camp Gray","3","2","Yet, but it DOES NOT CONNECT TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.8189448,45.011846
"51","Beverly Cleary School","Yes","Portland SD 1J","Multnomah ESD","Public",0,1,103,"Camp Angelos, Camp Arrah Wanna, Camp Howard","6","5","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.6315604,45.5367635
"52","Black Butte Elementary School","Yes","Black Butte SD 41","Jefferson ESD","Public",1,1,6,"Coastal Discovery Center at Camp Gray","5","4","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-121.6540575,44.444872
"53","Blanchet Catholic School","Yes","None",NA,"Private",0,0,NA,"Camp Westwind","4","3","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.9773669,44.9517102
"54","Bohemia Elementary School","No","South Lane SD 45J3","Lane ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.0768864,43.7929127
"55","Boise-Eliot Elementary School","Yes","Portland SD 1J","Multnomah ESD","Public",0,1,46,"Camp Arrah Wanna, Camp Namanu","6","5","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.672734,45.5478626
"56","Bonanza Elementary School","Yes","Klamath County SD","Southern Oregon ESD","Public",0,1,30,"Klamath Outdoor Science School","4","3","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-121.4042526,42.1994677
"57","Bonny Slope Elementary School","Yes","Beaverton SD 48J","Northwest Regional ESD","Public",1,0,118,"Trickle Creek","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.7976087,45.5396984
"58","Boones Ferry Primary School","Yes","West Linn-Wilsonville SD 3J","Clackamas ESD","Public",1,0,105,"Hancock Field Station","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.7934965,45.3001405
"59","Boring Middle School","No","Oregon Trail SD 46","Clackamas ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.3774099,45.4321813
"60","Bridger K-8 School","Yes","Portland SD 1J","Multnomah ESD","Public",0,1,34,"Camp Howard, Camp Namanu","6","5","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.5822227,45.5104388
"61","Briggs Middle School","Yes","Springfield SD 19","Lane ESD","Public",1,0,60,"Grove Christian Camp","2","1",NA,NA,-122.9905617,44.0716379
"62","Brighton Academy","No","None",NA,"Private",0,0,NA,NA,NA,NA,NA,NA,-123.3197464,42.4493777
"63","Brookings Harbor Christian School","No","None",NA,"Private",0,0,NA,NA,NA,NA,NA,NA,-124.3011797,42.0633006
"64","Brookwood Elementary School","Yes","Hillsboro SD 1J","Northwest Regional ESD","Public",0,1,56,"Camp Magruder","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.9420891,45.5152306
"65","Brush College Elementary School","Yes","Salem-Keizer SD 24J","Willamette ESD","Public",1,0,40,"Canyonview Camp","3","2",NA,NA,-123.0773579,44.9723023
"66","Buckingham Elementary School","Yes","Bend-La Pine Admin SD 1","High Desert ESD","Public",1,0,93,"Camp Tamarack","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-121.241825,44.071793
"67","Buckman Elementary School","Yes","Portland SD 1J","Multnomah ESD","Public",1,0,68,"Coastal Discovery Center at Camp Gray","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.6489338,45.5204053
"68","Burns Alternative School","No","Harney County SD 3","Harney ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-119.0577893,43.5902632
"69","Burnt River School","No","Burnt River SD 30J","InterMountain ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-118.1932268,44.4404929
"70","Butler Creek Elementary School","No","Centennial SD 28J","Multnomah ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.4584719,45.4725449
"71","Butte Creek Elementary School","Yes","Silver Falls SD 4J","Willamette ESD","Public",0,0,NA,"Camp Westwind","4","3","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.6994538,45.0634508
"72","Butternut Creek Elementary School","Yes","Hillsboro SD 1J","Northwest Regional ESD","Public",0,1,57,"Camp Magruder","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.887595,45.486929
"73","Cairo Elementary School","No","Ontario SD 8C","Malheur ESD Region 14","Public",0,0,NA,NA,NA,NA,NA,NA,-117.0122754,43.9878004
"74","Calapooia Middle School","No","Greater Albany Public SD 8J","Linn Benton Lincoln ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.0926135,44.6179757
"75","Camas Valley School","No","Camas Valley SD 21J","Douglas ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.6747569,43.0344564
"76","Candalaria Elementary School","Yes","Salem-Keizer SD 24J","Willamette ESD","Public",1,0,67,"Canyonview Camp","3","2",NA,NA,-123.0581507,44.9126006
"77","Canyonville Adventist Elementary School","No","None",NA,"Private",0,0,NA,NA,NA,NA,NA,NA,-123.2811748,42.9273406
"78","Canyonville School","No","South Umpqua SD 19","Douglas ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.2796699,42.9282548
"79","Carden Cascade Academy","No","None",NA,"Private",0,0,NA,NA,NA,NA,NA,NA,-122.9769533,45.543586
"80","Carus School","Yes","Canby SD 86","Clackamas ESD","Public",0,1,46,"Hancock Field Station","5","4","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE SOME accommodations so our program is accessible for all students",-122.571908,45.270742
"81","Cascade Heights Public Charter School","Yes","North Clackamas SD 12","Clackamas ESD","Public",0,1,22,"None","5","4","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE SOME accommodations so our program is accessible for all students",-122.5700502,45.4120796
"82","Cascade Junior High School","Yes","Cascade SD 5","Willamette ESD","Public",0,1,160,"Camp Tadmor","5","4","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.916768,44.809194
"83","Cascade Middle School","No","Bethel SD 52","Lane ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.1665926,44.0788785
"84","Cascades Academy","No","None",NA,"Private",0,0,NA,NA,NA,NA,NA,NA,-121.3320451,44.1331652
"85","Cathedral School","Yes","None",NA,"Private",0,1,28,"Camp Namanu","6","5","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.6877289,45.523931
"86","Catlin Gabel School","Yes","None",NA,"Private",0,0,0,"Hancock Field Station","4","3","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.7674818,45.5099948
"87","Cedar Park Middle School","Yes","Beaverton SD 48J","Northwest Regional ESD","Public",0,1,310,"Cedar Ridge, Trickle Creek","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.7924259,45.5062072
"88","Cedar Ridge Middle School","No","Oregon Trail SD 46","Clackamas ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.260455,45.399368
"89","Cedarwood Waldorf School","Yes","None",NA,"Private",0,1,25,"Camp Namanu","5","4","Yet, but it DOES NOT CONNECT TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.6795537,45.5014153
"90","Centennial Elementary School","No","Springfield SD 19","Lane ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.0414661,44.0577318
"91","Central Elementary School","Yes","Greater Albany Public SD 8J","Linn Benton Lincoln ESD","Public",1,1,40,"Coastal Discovery Center at Camp Gray","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-123.1066685,44.6304379
"92","Central Howell Elementary School","Yes","Silver Falls SD 4J","Willamette ESD","Public",0,0,NA,"Camp Westwind","4","3","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.8799557,44.9909049
"93","Central Linn Elementary School","Yes","Central Linn SD 552","Linn Benton Lincoln ESD","Public",0,1,58,"Camp Koinonia","4","3","Yes, and it CONNECTS TO STATE STANDARDS",NA,-123.1113335,44.3872748
"94","Central Point Elementary School","Yes","Central Point SD 6","Southern Oregon ESD","Public",1,0,90,NA,"3","2",NA,NA,-122.9117818,42.3719789
"95","Central Valley Christian School","Yes","None",NA,"Private",0,1,4,NA,"3","4",NA,NA,-123.1242531,44.5609881
"96","Cesar Chavez Elementary School","No","Eugene SD 4J","Lane ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.1155581,44.0428833
"97","Cesar Chavez K-8 School","Yes","Portland SD 1J","Multnomah ESD","Public",0,1,23,"Camp Howard","6","5","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.7193848,45.5844654
"98","Cesar E Chavez Elementary School","Yes","Salem-Keizer SD 24J","Willamette ESD","Public",1,0,101,"Canyonview Camp","2","1",NA,NA,-122.9611694,44.9592431
"99","Chapman Hill Elementary School","Yes","Salem-Keizer SD 24J","Willamette ESD","Public",1,0,90,"Camp Greider","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-123.0770067,44.955946
"100","Chenowith Elementary School","No","North Wasco County SD 21","Columbia Gorge ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-121.2210661,45.6259505
"101","Childpeace Montessori Community School","Yes","None",NA,"Private",1,1,10,"Hancock Field Station","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.6870037,45.5355021
"102","Childs Way Charter School","No","South Lane SD 45J3","Lane ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.844428,43.699071
"103","Christ Lutheran School","No","None",NA,"Private",0,0,NA,NA,NA,NA,NA,NA,-124.2294974,43.3813376
"104","Christ the King School","Yes","None",NA,"Private",0,1,30,"Camp Westwind","4","3","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.5871063,45.4384877
"105","City Christian Schools","Yes","None",NA,"Private",0,1,27,"Hancock Field Station","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.5666067,45.5505871
"106","City View Charter School","Yes","Hillsboro SD 1J","Northwest Regional ESD","Public",0,1,48,"Camp Westwind","4","3","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.9396028,45.5115106
"107","Clackamas Web Academy","No","North Clackamas SD 12","Clackamas ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.5729229,45.4295522
"108","Claggett Creek Middle School","No","Salem-Keizer SD 24J","Willamette ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.0113839,44.9846858
"109","Clara Brownell Middle School","No","Umatilla SD 6R","InterMountain ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-119.3373093,45.917429
"110","Clarkes Elementary School","Yes","Molalla River SD 35","Clackamas ESD","Public",1,0,24,"Jawbone Flats","4","3","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.474111,45.214689
"111","Class Academy","Yes","None",NA,"Private",1,1,NA,"Trackers, Camp Trackers","3","2","No","We are ABLE TO MAKE SOME accommodations so our program is accessible for all students",-122.7075447,45.5365172
"112","Clatskanie Elementary School","Yes","Clatskanie SD 6J","Northwest Regional ESD","Public",0,1,50,"Hancock Field Station","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-123.20576,46.09975
"113","Clear Creek Middle School","Yes","Gresham-Barlow SD 10J","Multnomah ESD","Public",0,1,184,"Camp Angelos, Camp Arrah Wanna, Camp Howard, Camp Namanu","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.4378336,45.5241208
"114","Clear Lake Elementary School","No","Bethel SD 52","Lane ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.1762615,44.0831973
"115","Clear Lake Elementary School","Yes","Salem-Keizer SD 24J","Willamette ESD","Public",1,0,96,"Camp Cascade Conference and Retreat Center","3","2",NA,NA,-123.0189958,45.0266184
"116","Cobb School","Yes","None",NA,"Private",0,1,4,"Coastal Discovery Center at Camp Gray","4","3","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-123.3505699,43.2251424
"117","Coffenberry Middle School","No","South Umpqua SD 19","Douglas ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.283705,43.029037
"118","Colonel Wright Elementary School","No","North Wasco County SD 21","Columbia Gorge ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-121.198448,45.5978179
"119","Colton Elementary School","No","Colton SD 53","Clackamas ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.414357,45.16523
"120","Columbia Academy","No","None",NA,"Private",0,0,NA,NA,NA,NA,NA,NA,-122.6400309,45.3864385
"121","Columbia Christian Schools","Yes","None",NA,"Private",0,1,22,"Camp Yamhill","4","3",NA,NA,-122.5707273,45.5254488
"122","Columbia County Christian School","No","None",NA,"Private",0,0,NA,NA,NA,NA,NA,NA,-122.8158185,45.8590111
"123","Columbus Elementary School","Yes","McMinnville SD 40","Willamette ESD","Public",0,1,20,"Twin Rocks Friends Conference","4","3","Yes, and it CONNECTS TO STATE STANDARDS",NA,-123.2174221,45.2004506
"124","Conestoga Middle School","Yes","Beaverton SD 48J","Northwest Regional ESD","Public",0,1,300,"Camp Magruder","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.8026698,45.4467453
"125","Coquille Valley Elementary School","Yes","Coquille SD 8","South Coast ESD","Public",1,0,42,"Camp Myrtlewood","2","1",NA,NA,-124.1871124,43.1847036
"126","Corbett Middle School","Yes","Corbett SD 39","Multnomah ESD","Public",0,1,65,"Camp Arrah Wanna, Camp Namanu","6","5","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.2956859,45.5298519
"127","Corridor Elementary School","Yes","Eugene SD 4J","Lane ESD","Public",0,1,160,"Grove Christian Camp","3","2",NA,NA,-123.1365944,44.0943805
"128","Corvallis Waldorf School","No","None",NA,"Private",0,0,NA,NA,NA,NA,NA,NA,-123.2225462,44.598052
"129","Countryside Christian School","Yes","None",NA,"Private",0,1,1,NA,"5","4",NA,NA,-123.329318,44.057616
"130","Crane Elementary School","No","Harney County SD 4","Harney ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-118.5754047,43.4166868
"131","Creative Science School","Yes","Portland SD 1J","Multnomah ESD","Public",0,1,60,"Camp Arrah Wanna","6","5","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.5700291,45.5135127
"132","Creston Elementary School","Yes","Portland SD 1J","Multnomah ESD","Public",0,1,34,"Canby Grove","6","5","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.6137951,45.495449
"133","Creswell Middle School","No","Creswell SD 40","Lane ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.0265855,43.9166326
"134","Crook County Middle School","Yes","Crook County SD","High Desert ESD","Public",0,1,200,"Suttle Lake Camp","5","4","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-120.8342232,44.301157
"135","Crosshill Christian School","No","None",NA,"Private",0,0,NA,NA,NA,NA,NA,NA,-123.0063749,44.8405652
"136","Crossler Middle School","No","Salem-Keizer SD 24J","Willamette ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.063606,44.8745867
"137","CS Lewis Academy","Yes","None",NA,"Private",1,1,26,"Royal Ridges Retreat","6","5","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE SOME accommodations so our program is accessible for all students",-122.9731565,45.3001178
"138","Culver Middle School","Yes","Culver SD 4","Jefferson ESD","Public",0,1,50,"Camp Tamarack","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-121.2116398,44.5224447
"139","Cummings Elementary School","Yes","Salem-Keizer SD 24J","Willamette ESD","Public",1,0,67,"Canyonview Camp","2","1",NA,NA,-123.0341438,44.9899419
"140","Da Vinci Middle School","Yes","Portland SD 1J","Multnomah ESD","Public",0,1,149,"Camp Angelos, Camp Howard, Camp Arrah Wanna, Camp Namanu","6","5","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.6401528,45.5245854
"141","Dallas Community School","No","Dallas SD 2","Willamette ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.3272253,44.9154831
"142","Damascus Christian School","Yes","None",NA,"Private",0,1,16,"Tumalo State Park","3","2",NA,NA,-122.449588,45.419004
"143","Danebo Elementary School","Yes","Bethel SD 52","Lane ESD","Public",1,0,45,"Canby Grove","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-123.1789974,44.0769365
