Camp Name,Camp Owner,County,Website,Contact Name,Role,Email,Phone,Camp physical address,Camp mailing address,Do you currently provide facilities for outdoor school program(s)?,"If yes, please list school(s) and/or district(s) you serve:","If yes, list the number of weeks you provide & number of students served each school year:",Camp capacity follow-up: provided ODS in Spring 2016?,"If yes, is your camp utilized at full capacity? Or would you be able to host additional schools/providers?",Camp capacity follow-up: at full capacity?,Camp capacity follow-up comments,"If you do NOT currently provide facilities for outdoor school programs, have you done so in the past? ","If yes, please list schools and/or districts previously served, and when: ","If yes, why did you stop providing facilities for outdoor school programs? ","If you do NOT currently provide facilities to outdoor school programs, are you interested in doing so?","If no, please share your reason(s): ",Does your facility currently offer its own outdoor school program(s)?,"If yes, please describe your program(s). List web pages, if available: ","If yes, checkmark the academic standards with which the curriculum aligns (check all that apply):","Please list/explain any other specialty programming or resources your camp offers: (Art studio, blacksmithing, archery, etc.)","If you do not currently provide outdoor school programs, are you interested in doing so?","Does your camp have, or can it secure, liability insurance that meets the industry standard?",Does your camp provide program staff?,Does your camp provide a nurse or other health care professional?,Does your camp provide maintenance staff?,Does your camp provide food service staff?,Does your camp provide custodial/cleaning staff?,Is at least one of your staff (such as a caretaker) onsite at all times while camp is in session?,Camp acreage,Maximum overnight capacity,Maximum dining capacity,Does your camp have a commercial kitchen?,Dietary Needs?,Is your camp ACA accredited?,Please list any other accreditation:,Please checkmark the facilities at your camp that are ADA accessible: (Check all that apply),Are current/potential field study areas ADA accessible?,"If no, could reasonable accommodations be made to ensure all students can participate in field studies?",Please describe any accommodations needed:,"Please checkmark facilities that are weatherized (heat and insulation): (Check all that apply)

",Please checkmark your camp's bathroom facilities: (Check all that apply),Any additional information about your bathroom facilities:,Choose seasons your facility is/can be available for outdoor school: (Check all that apply),Any additional information about your seasonal availability:,Do you have sleeping units available for adult staff that are separate from student sleeping units?,"If yes, please describe: ","Other amenities/field study resources: Most outdoor school programs teach 4 field studies: water, soil, plants and animals. (Check all that apply) Ropes Course, Climbing wall, Pool, Forested Areas, Meadowland, Trails.",Campfire space(s)?,"If yes, how many and seating capacity of each campfire:","Access to water (lake, pond, river, stream, etc.)","If yes, please describe: ",Covered outdoor spaces?,"If yes, how many and dimensions: ",Other amenities/resources?,Please describe the other amenities/resources,Is there any other information about your facility you’d like us to know?,Please list any other camps in your region that might be interested in participating:,"To receive updates on the progress to fund and implement the Outdoor School Law, please list names and email(s) below:","Notes
","""Notes by Friends of Outdoor School
""",Schools,Coordinates,lon,lat,Schools
Camp Clark,Cascade Pacific Council of Boy Scouts of America,Tillamook,https://www.cpcbsa.org/clark,Elsa Weiss,Camp Clark Director,reweiss@gorge.net,503-225-5744,"17500 Cape Lookout road Cloverdale, OR 97112","17500 Cape Lookout road Cloverdale, OR 97112",,,,No,,Our camp did NOT provide facilities for Outdoor School programs during Spring 2016,"Camp Clark is on the same property as Camp Meriwether, only closer to the tide pools and more condensed so it fits younger kids well.  It has not been used for Outdoor School due to their desire for heated cabins of which the camp does not have many.",,,,,,,,,"B.B. gun and archery ranges, nature study, ocean study, science, showmanship, campfires, crafts, woodworking, sports, nature study, ocean study, science, ,",,,,,,,,,780,250 (GFF),250 (GFF),yes,"vegetarian,dairy free, gluten free.",,,"Each camp has at least one campsite which provides easier wheelchair access to tents, outhouses, and other campsite features. Submit a Special Needs Form to enable the camp to place the troop in an appropriate campsite. Be sure to submit the form several weeks prior to camp.",,,,,Showers in separate bathroom facility,,,,yes,staff cabins,trails,campfire space,,Access to water,Oregon Coast,,,,,,,,"Large, framed 2-man tents, provided framed tents, open door cabins",,,,,,
Camp Cooper,Cascade Pacific Council of Boy Scouts of America,Tillamook,https://www.cpcbsa.org/cooper,Aaron Yoder,Ranger Camp Cooper,aaron.yoder@scouting.org,503-703-9246,"6000 SW Bald Mountain Road Willamina, OR 97396","6000 SW Bald Mountain Road Willamina, OR 97396",,,,No,,,"Hey Hey, 
    Camp Cooper has never hosted ODS to my knowledge. As much as I would love love love to be involved with ODS again, our property has some modest strides to make before we could consider running a public school program up here. Everybody loves rustic, but we don't meet standards in some areas. Yet. Hope this survey helps; thanks for all you do for Outdoor School. It was an important part of my school years and I am happy to see the resurgence in love for it. It comes from hard work, and I understand you good folks are part of that. Cheers!

   -Aaron",,,,,,,,,,,,,,,,,,240,200 (GFF),200 (GFF),Yes (GFF),,,,,,,,,,,,,,,"trails,  Forested areas",,,Access to water,"waterfall, ORegon Coast, Lake Hurl",,,,,,,,"Cabins, permanent tents and campsites","""No kitchen facilities, den site shelters roofed with posts""",,,-123.4631304,45.2758911,
Camp Ireland,Cascade Pacific Council of Boy Scouts of America,Washington,https://www.cpcbsa.org/ireland,Bill Hood,Ranger Scouters' Mountain,bill.hood@scouting.org,503-539-3834,"31624 NW  Camp Ireland st HIllsboro, OR 97124","31624 NW  Camp Ireland st HIllsboro, OR 97124",,,,,,,,,,,,,,,,"STEM related station, archery, bb guns, wood shop",,,,,,,,,11.6,,No Kitchen facilities (GFF),No (GFF),"vegetarian,dairy free, gluten free.",,,"Each camp has at least one campsite which provides easier wheelchair access to tents, outhouses, and other campsite features. Submit a
Special Needs Form to enable the camp to place the troop in an appropriate campsite. Be sure to submit the form several weeks prior
to camp.",,,,,Other: kybos/portable bathrooms,,,,,,"trails , meadowland, sports, ropes course, forested areas",campfire space,,Access to water,"McKay Creek, wetland/nature preserve",covered outdoor spaces,several den site shelters for cooking,,,,,,"No kitchen facilities, den site shelters roofed with posts",,,,-123.0020266,45.5466913,
Camp Royce-Finel,Cascade Pacific Council of Boy Scouts of America,Clackamas,https://www.cpcbsa.org/roycefinel,Andrew Herold,Facilities Director,andrew.herold@scouting.org,(503) 225-5723,"33898 Carnahan Park Ln, Warrenton, OR",No mail service available,,,,,,,,,,,,,,,,program shelters,,,,,,,,,19,50,No Kitchen facilities (EEAO),No (EEAO),,,,,,,,None,Other: 2 double latrines,,,,,,"trails, lake",Campfire space (per tent space),,Access to water,"Cullaby Lake, Oregon coast",covered outdoor spaces,,,,"Units cannot drive into Camp Royce Finel. The only way to get there is hike the twenty minute trail around the lake or bring a boat or canoe to haul heavy equipment such as Dutch ovens, coolers etc. The service road is closed to all units and the gate is locked.",,,Campsites only; no commercial kitchen; only access is 20-minute hiking trail or boat (service road locked),,,,,,
Nanitch Point Lodge,Cascade Pacific Council of Boy Scouts of America,Clackamas,https://www.cpcbsa.org/winterlodge,Bo Henderson,Camping Director,bo.henderson@scouting.org,"office: 5032255744, cell: 360-600-7210",Nanitch Point Lodge,N/A,,,,,,,,,,,,,,,,,,,,,,,,,12,70 (EEAO),70 (EEAO),Yes (EEAO),,,,,,,,,,,,,,,forested areas,,,,,,,,,,,,,,,,-121.7358112,45.3075532,
Phlox Point Lodge,Cascade Pacific Council of Boy Scouts of America,Clackamas,,Jim Hill,Director of Camping & Properties,jhill@cpcbsa.org,503-226-3423,Phlox Point Lodge,N/A,,,,,,,,,,,,,,,,,,,,,,,,,8,8 (EEAO),8 (EEAO),Not sure if commercial (EEAO),,,,,,,,,,,,,,,,,,,,,,,,,,,Sold,,,,-121.7160647,45.3243222,
Scouters Mountain,Cascade Pacific Council of Boy Scouts of America,Clackamas,https://www.cpcbsa.org/cubworld,Jim Hill,Director of Camping & Properties,jhill@cpcbsa.org,503-226-3423,1130 SE 147th ave happy valley or 97086,1130 SE 147th ave happy valley or 97086,,,,,,,,,,,,,,,,"archery, bb guns",,,,,,,,,122,190,,Yes (GFF),"vegetarian,dairy free, gluten free.",,,"Each camp has at least one campsite which provides easier wheelchair access to tents, outhouses, and other campsite features. Submit a
Special Needs Form to enable the camp to place the troop in an appropriate campsite. Be sure to submit the form several weeks prior
to camp.",,,,,,,,,,,trails,,,,,,,,,,,,"Fort, boxcars, teepee",Adirondacks,,,-122.5121119,45.4391583,
Camp Meriwether,"Cascade Pacific Council, Boy Scouts of America",Tillamook,www.cpcbsa.org/meriwether,Bo Henderson,Camping Director,bo.henderson@scouting.org,503-225-5744,"17500 Cape Lookout Rd; Cloverdale, OR 97112","2145 SW Naito Pkwy; Portland, OR 97201",No,,,No,,Our camp did NOT provide facilities for Outdoor School programs during Spring 2016,"It appears that the usual Outdoor Schools which have traditionally used Camp Meriwether did not attend at this location in 2016.  The feedback that we have received indicates that they love the location on the beach with the rain forest, lake, streams and tide pools, but desire heated cabins for the 6th graders.

Thank you,
Andy",Yes,Tillamook School District; Morrow County Schools,They lost funding and long time volunteers,Yes,,Yes,Boy Scout Summer camp contains some elements of outdoor education.  Cabin counselors can be recruited from our summertime employees.,,"Blacksmithing, Archery, Oceanography, Rock Climbing,",Yes,Yes,There is not currently one onsite but we would be able to work with a district to provide if necessary,Negotiable,Three full time staff onsite at all times,Negotiable,Negotiable,Yes,790,542 plus staff,600,Yes,We currently make accomodations for all special dietary needs during our summer programming,Negotiable,We are accredited through the Boy Scouts of America' National Camp Accreditation Program.  It is very similar to the ACA.  We are currently contemplating ACA accreditation as well.  We would pass but have never applied because the BSA accreditation program is what we have always needed to operate our programs.,"More than 3/less than all sleeping units, Toilets, Showers, Dining hall, Campfire space(s)",Would need more information to determine,Yes,,"Some sleeping units, Dining hall, Bathroom facilities","Permanent chemical toilets in separate bathroom facility, Composting toilets, Plumbed toilets in separate bathroom facility, Showers in separate bathroom facility",,"Winter, Spring, Fall",,Yes,We have staff cabins seperate from the rest of the camp for our summer staff,"Climbing wall, Forested areas, Meadowland, Trails",Campfire space(s),1 seats 800 and another seats 400,"Access to water (lake, pond, river, stream, etc.)","Nature trail follows a stream.  We also have a lake, old cranberry bog and the Pacific Ocean",Covered outdoor spaces,Too many to count.  Most seat 10.  The five in our nature area seat between 10 and 20 and there are three around camp that canhold 40,Other amenities/resources,"Ft. Clatop full size replica, ocean tidepools, 40' climbing tower",We are very interested in hosting outdoor schools.  We would like to work with anyone but are unaware of what schools didstricts are needed in the way of facilities.  We are working on renovating the property to meet outdoor school needs but would like some help to understand what those needs are.,,bo.henderson@scouting.org,Sleeping units are not weatherized,"""Closed for renovations until 2018
""",,,-123.926628,45.3181835,
Aubrey Watzek Mountain Lodge,Cascase Pacific Council of Boy Scouts of America,Hood River,https://www.cpcbsa.org/aubreycsdates,Bo Henderson,Camping Director,bo.henderson@scouting.org,503-225-5744,"Aubrey Watzek Mountain Lodge Mt Hood, OR",N/A,,,,,,,,,,,,,,,,,,,,,,,,,12,144 (EEAO) (GFF),144 (EEAO) (GFF),YES (EEAO),,,,,,,,,,,,,,,forested areas (EEAO) (GFF),,,Access to water (EEAO) (GFF),Stream (EEAO) (GFF),,,,,,,,,,,,-121.6771981,45.301088,
Camp Lewis,Cascase Pacific Council of Boy Scouts of America,"Clark, WA",https://www.cpcbsa.org/lewis,Bill Hood,Ranger Scouters' Mountain,bill.hood@scouting.org,5035393834,"27000 NE 147th ave Battle Ground, WA 98604","27000 NE 147th ave Battle Ground, WA 98604",,,,,,,,,,,,,,,,"crafts, games, bb guns and archery, songs and skits",,,,,,,,,116,,,,,,,"Each camp has at least one campsite which provides easier wheelchair access to tents, outhouses, and other campsite features. Submit a
Special Needs Form to enable the camp to place the troop in an appropriate campsite. Be sure to submit the form several weeks prior
to camp.",,,,,other: kybo,,,,,,"trails, meadowland, ropes course",campfire spaces,,Access to water,Lewis River,,,,,,,,Adirondacks,,,,-122.52178,45.8182954,
Camp Pioneer,Cascase Pacific Council of Boy Scouts of America,Linn,https://www.cpcbsa.org/pioneer,Eric Witkowski,"Ranger, Butte Creek Scout Ranch",eric.witkowski@scouting.org,(503) 873-8172,"62681 Twin Meadows Road Idanha, OR 97350","62681 Twin Meadows Road Idanha, OR 97350",,,,,,,,,,,,,,,,"archery, riflry,",,,,,,,,,48,,,yes,"vegetarian,dairy free, gluten free.",,,"Each camp has at least one campsite which provides easier wheelchair access to tents, outhouses, and other campsite features. Submit a
Special Needs Form to enable the camp to place the troop in an appropriate campsite. Be sure to submit the form several weeks prior
to camp.",,,,,"Showers in separate bathroom facility, other: kybo",,,,,,"trails, forested areas",Campfire spaces,,Access to water,Pine Ridge Lake,,,,,,,,Campsites,Sleeping units and bathroom facilites are not weatherized; only the dining hall is ADA accessable,,,-121.9324495,44.5566794,
Christian Renewal Center,Christian Renewal Center,Marion,christianrenewalcenter.org,Tim and Julie Hansen,Directors,,503-873-6743,"22444 North Fork Rd. SE, SIlverton OR 97381",,,,,,,,,,,,,,,,,"zip line, Next to state park, archery",,,,,,Yes*,,,,117,80 in main lodge,yes,,,,toilets,,,,,"plumbed toilets in separate bathroom facility, Plumbed toilets in sleeping unit, Showers in separate bathroom facility",,,,,,,,,Access to water,Silver Falls,,,,,,,,,,,,,,
Camp White Branch,Church of God,Lane,campwhitebranch.org,Leonard or Stacey,managers,Whitebranchoffice@gmail.com,541-822-3511,"61500 McKenzie Hwy, McKenzie Bridge, OR 97413","61500 McKenzie Hwy, McKenzie Bridge, OR 97413",Yes,McKenzie Bridge/Blue River,1/30 can house 125,,,,,Yes,mcKenzie High School,still serving,,,No,,,,Maybe - need more information,Yes,No,No,Yes,Yes,Yes,Yes,20,125,125,Yes,all,No,,"3 or less of sleeping units, Toilets, Showers, Dining hall, Campfire space(s)",Yes,,,"All sleeping units, Dining hall, Bathroom facilities","Plumbed toilets in separate bathroom facility, Plumbed toilets in sleeping unit, Showers in separate bathroom facility, Showers in sleeping unit",,"Winter, Spring, Summer, Fall",,Yes,seprate cabens,"Pool, Forested areas, Meadowland, Trails",Campfire space(s),125,"Access to water (lake, pond, river, stream, etc.)",streem\waterfall,,,,full size gym,,,leonard meyer/whitebranchoffice@gmail.com,,Sleeping units and bathrooms need to be weatherized; toilets and showers are not ADA accessible,McKenzie Elementary School – Finn Rock,,-122.066934,44.1795339,
Triangle Lake Conference & Retreat Center,Circle of Children,Lane,http://circleofchildren.org/wp/triangle-lake-facility/,Blackhorse Shasta,Executive Director,director@circleofchildren.org,541-632-3140,"19291 Hwy 36, Blachly, OR 97412","PO Box 43, Blachly, OR 97412",Yes,Springfield/Eugene School Districts,28 weeks; approx. 380 students,,"No, we are able to host additional schools",,,,,,,,Yes,"Circle of Children regularly host youth immersion programs and family camps that focus on earth stewarship, nature connection, organic gardening, nutritional awareness, natural building, sustainable forestry, holistic health, creative arts, community building, and youth empowerment at our Triangle Lake Center in Oregon.",Not sure,Water activities on the lake and an indoor recreation center with a theater stage and basketball court.,Yes,Yes,Negotiable,Negotiable,Negotiable,Negotiable,Negotiable,Yes,61.22,500,150,Yes,"Our dietary policy is that all food which is prepared and served will conform to our standards for sustainability and health. We maintain a 95% or greater organic food and 100% vegetarian policy at our facility, and we prefer to serve vegan meals that are locally sourced. We also do not permit the use of processed sugars (natural sugars like honey, coconut sugar, date sugar, maple syrup, etc. are permitted). To help schools and camp organizers meet these standards, we are preparing a directory of local, organic farmers, food distributors, and chefs. We also help acquire food donations for events held on our land, if desired, and can often supply free produce from our gardens.",Negotiable,"This camp was ACA accredited under the former owners, and we could achieve this accreditation again. We are also currently in the final stages of acquiring our Organizational Camp License.","More than 3/less than all sleeping units, Toilets, Showers, Dining hall, Recreational Building (Activity Barn)",Yes,Yes,,"Some sleeping units, Dining hall, Bathroom facilities, Kitchen","Plumbed toilets in separate bathroom facility, Plumbed toilets in sleeping unit, Showers in separate bathroom facility, Showers in sleeping unit","We have a shower house with three toilets and three showers each, one for each gender. Our three lodges and the nurse's station have several indoor bathroom facilities with showers.","Spring, Summer, Fall","In the future, we can have our facility open in the winter as well, this would not require many additional improvements to the facility.",Yes,"We have an 8 bedroom lodge with 8 private baths and balconies that overlook Little Lake. This also includes a separate conference room with a fireplace and tea station. We have a 13 bedroom lodge with shared bathrooms, a kitchenette, and an indoor meeting room. We also have a 4 bedroom lodge with bunk beds and shared bathrooms that is appropriate for students or staff. All of these are fully weatherized and comfortable throughout the seasons.","Forested areas, Meadowland, Trails",Campfire space(s),"2 campfire spaces, both are large and located in an open meadow area. We typically can accommodate approx. 60 people around the fire.","Access to water (lake, pond, river, stream, etc.)","We have access to a small creek, Little Lake with permission from the land owners, and we have 2 acres of property on Triangle Lake with a floating dock, that is connected to the conference center by an underground pedestrian tunnel, built especially for the children.",Covered outdoor spaces,"One in the meadow, approx. 20' in diameter. We can also set up temporary covered outdoor spaces during the late-spring, summer, and early-fall.",Other amenities/resources,"1.5 acres of organic permaculture gardens. Cob natural building site. Indoor recreational center with a theater stage, art room, and half-sized basketball court. Ample space for camping.","The following question on your form did not provide an accurate multiple choice option for us: ""If yes, is your camp utilized at full capacity? Or would you be able to host additional schools/providers?"" Our answer is as follows: We are not at full capacity, and we would like to host additional schools/providers. This camp facility was generously donated to our nonprofit organization very recently, in May of 2014, and we are currently working to get the facility up and running again and make it available to schools for outdoor educational camps. Currently, our land use has reverted to F2 (farming and forestry) and our understanding is that we are only legally permitted to host day camps at this time. We are working to re-establish the original nonconforming use permit for camps, conferences and retreats or acquire a new conforming use permit to operate as a youth camp, so that we can offer this facility for overnight camps and retreats. Any resources to aid us in this process are greatly appreciated! We have an extensive facility with much to offer, and we have been informed by the county that this is the second-best retreat center in Oregon, so we see a lot of potential here and are looking forward to collaborating with various different groups to help make it available as a resource for educating and empowering the next generation of earth stewards.",Unknown,Meghan Machado; meghan@circleofchildren.org,,"""Campsites, no commercial kitchen""",,,-123.5759187,44.1661071,
Big Eddy Park,Columbia County,Columbia,http://www.co.columbia.or.us/departments/county-parks/big-eddy,,,,503-397-2353 or 503-366-3984.,"64555 Nehalem Highway N., Vernonia , Oregon",,,,,,,,,,,,,,,,,"open grassy play areas, fishing, canoeing and a boat launch",,,,,,,,,,280,None,,,,,,,,,,,,,,,,"meadowland, trails, forested areas",,,access to water,Nehalem River,,,,,,,,Campsites only,Sleeping units are not weatherized,,,-123.162211,45.931268,
Camp Wilkerson,Columbia County,Columbia,http://www.co.columbia.or.us/departments/county-parks/camp,,,,"503-397-2353, 503-366-3984","65866 Apiary Rd, Rainier, Oregon",,,,,,,,,,,,,,,,,"horses, equestrian facilities,",,,,,,,,,280,50-100,250,yes,,,,,,,,,flush toilets & showers,,,,,,"trails, forested area, climbing wall, ropes course",,,,,,,,,,,,"24 Adirondacks (3-sided camp shelters), 2-room cabins, numerous tent sites, and a rustic day lodge complete with cooking facilities to accommodate groups of up to 250 people.",,,,-123.0592859,45.9331493,
Hudson-Parcher Park,Columbia County,Columbia,http://www.co.columbia.or.us/departments/county-parks/hudson-parcher,,,,503-397-2353 or 503-366-3984,"75503 Larson Road, Rainier, Oregon",,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,"Bathhouse / Restrooms, Hot Showers",,,,,,"fishing, boating and windsurfing in the nearby Columbia River",,,access to water,Columbia river,,,,,,,,18 field campsites only,,,,-122.9972005,46.0897733,
Camp Remote,Community of Christ,Coos,campremote.org,Gerrie King,Manager,info@campremote.org,541-572-5321,"54147 Sandy Creek Rd., Myrtle Point, OR 97458","54147 Sandy Creek Rd., Myrtle Point, OR 97458",No,,,,,,,No,,,Maybe - need more information,,No,,,,Maybe - need more information,Yes,No,No,Yes,Yes,Yes,Yes,120,110,"100 inside, unlimited outside",Yes,dietary needs as requested,No,,"More than 3/less than all sleeping units, Toilets, Showers, Dining hall, Campfire space(s)",Would need more information to determine,Would need more information to determine,,"All sleeping units, Dining hall, Bathroom facilities","Plumbed toilets in separate bathroom facility, Showers in separate bathroom facility",,"Spring, Summer, Fall",,Yes,30 beds are in 6 small cabins separate from dorm facilities,"Forested areas, Meadowland, Trails",Campfire space(s),"1 space, unlimited seating on banks surrounding campfire","Access to water (lake, pond, river, stream, etc.)",Sandy Creek runs through camp grounds,Covered outdoor spaces,40x60 tent available on request,Other amenities/resources,"9 hole disc golf course, volleyball court, sports field, horseshoes, 1/2 court basketball",,,,short 10 dining seating,Sleeping spaces are not weatherized; sleeping units and campfire are not ADA accessible,,,-123.8514718,43.0645895,
Lobster Creek Camp,Curry County,Curry,http://co.curry.or.us/Departments/Parks,Jay Trost,Parks Director,CurryCountyParks@co.curry.or.us,541-247-3386,94235 Moore Street Suite 321,94235 Moore Street Suite 321,No,,,no,,Our camp did NOT provide facilities for Outdoor School programs during Spring 2016,Our camp can host up to 140 youth/staff comfortably,No,,,Yes,,No,,,,Yes,Maybe - need more information,Negotiable,No,Yes,No,Yes,Yes,52,107,75,Yes,,No,,"3 or less of sleeping units, Showers, Dining hall, Campfire space(s)",Would need more information to determine,Yes,,"Some sleeping units, Dining hall, Bathroom facilities","Plumbed toilets in separate bathroom facility, Plumbed toilets in sleeping unit, Showers in separate bathroom facility, Showers in sleeping unit",,"Winter, Spring, Summer, Fall",,Yes,,"Forested areas, Meadowland, Trails",,,"Access to water (lake, pond, river, stream, etc.)",Lobster Creek,Covered outdoor spaces,Two Gazebos 15'x15',,,,,,Sleeping units and toilets are not ADA accessible; short 32 dining seats; no sleeping units are weatherized,"""Campground, main lodge building, four additional sleeping cabins""",,,-124.4180776,42.4168635,
Camp Howard,CYO/Camp Howard,Clackamas,www.cyocamphoward.org,Sr. Krista von Borstel,Executive Director,srkrista@cyocamphoward.org,503-231-9484,"11010 SE Camp Howard Rd. Corbett, OR  97019","825 NE 20th Ave # 120 Portland, OR 97232",Yes,Multnomah County MESD,18 - 20,Yes,"No, we are able to host additional schools","NO, we could have hosted additional schools",We can hold 350 people overnight at the camp and we can serve 200 people in the dining hall.  We are in a capital campaign to rebuild the dining hall to hold more than we can sleep.,,,,,,No,,,,,Yes,Kitchen,No,Yes,Yes,No,Yes,245,350,220,Yes,We generally meet all needs,Yes,,"More than 3/less than all sleeping units, Toilets, Showers, Dining hall, Campfire space(s)",Would need more information to determine,Yes,,"All sleeping units, Dining hall, Bathroom facilities","Plumbed toilets in separate bathroom facility, Showers in separate bathroom facility",,"Winter, Spring, Fall",,Yes,15 separate beds,"Pool, Forested areas, Trails",Campfire space(s),"2 (300), (50),","Access to water (lake, pond, river, stream, etc.)",pond,Covered outdoor spaces,1 100' x 200' steel covered,Other amenities/resources,Multipurpose meeting room & another meeting area including limited kitchenette,"Maintenance is done well, we are putting in a zip line and a giant swing",,"srkrista@cyocamphoward.org, joliep@cyocamphoward.org",,Closed,"Arleta K-8 School – Portland, Bridger K-8 School – Portland, Clear Creek Middle School – Gresham, Da Vinci Middle School – Portland, Floyd Light Middle School – Portland, Holy Cross Catholic School – Portland, Hosford Middle School – Portland, Jackson Middle School – Portland, Laurelhurst Elementary School – Portland, Marysville Elementary School – Portland, St Clare School – Portland, St Helens Arthur Academy – St Helens, Sunnyside Environmental School – Portland, Vernon K-8 School – Portland, West Orient Middle School – Gresham, West Sylvan Middle School – Portland, Deep Creek K-8 School – Damascus, Oregon Episcopal School – Portland, St Paul Elementary School – St Paul, Dexter McCarty Middle School – Gresham, Holy Family Catholic School – Portland, Beverly Cleary School – Portland, George Middle School – Portland, Harrison Park School – Portland, Lane Middle School – Portland, Ockley Green Middle School – Portland, Scott Elementary School – Portland, Sellwood Middle School – Portland, Skyline Elementary School – Portland, Vestal Elementary School – Portland, Hauton B Lee Middle School – Portland, Trinity Lutheran School – Portland, Winterhaven School – Portland, Reynolds Middle School – Fairview, Riverdale Grade School – Portland, Faulconer-Chapman School – Sheridan, Cesar Chavez K-8 School – Portland",,-122.182915,45.443283,Oak Grove Elementary School – Milwaukie
Saint Benedict Lodge,Dominican Friars of the Province of the Most Holy Name of Jesus,Lane,http://sblodge.opwest.org/,Thomas DeMan,Director,sblodge@opwest.org,541-822-3572,"56630 North Bank Rd, McKenzie Bridge, OR, 97413",,,,,,,,,,,,,,,,,,,,,,,no,,,70,84,80,yes,,,,More than 3/less than all sleeping units,,,,"All sleeping units, Dining hall, Bathroom facilities",,,,,yes,"Our Guest Cabin has two self-contained rooms with private baths. The River Room has two twin-sized beds and theCascade Room has a queen-sized bed. Both rooms are coplete with all appropriate linens and towels. Both rooms are also completely furnished with microwave, coffee maker, TV/VCR and gas fire-stove heating. Both rooms have a view of the river.",forested areas,,,Access to water,river,,,,,,,,,Campsites,,,-122.1552839,44.179423,
Box R Ranch Outback,Don Rowlett,Jackson,http://www.boxrranch.com/,,,boxr@boxrranch.com,541-482-1873,"16799 OR-66, Ashland, OR 97520",,,,,,,,,,,,,,,,,sports,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,access to water,"ponds, creeks",,,,,,,,Sold and is now New Frontier Ranch,short 10 dining seating,,,-122.3754012,42.1172145,
Ascension Camp and Conference Center,Episcopal Diocese of Eastern Oregon,Union,www.coveascensionschool.com,Kim Lee (Patty no longer ED),Executive Director,office@episdioeo.org,541-568-4514,"1104 Church Street Cove, Oregon 97824","PO Box 278 Cove, Oregon 97824",No,,,,,,,No,,,Yes,,No,,,Arts,Yes,Yes,Negotiable,Summer nurse but could work on nurse for outdoor school,Yes,Yes,Yes,Yes,11,80-100,160,Yes,"vegetarian, vegan, diabetic, gluten free, dairy free",Yes,,"More than 3/less than all sleeping units, Toilets, Showers, Dining hall",Would need more information to determine,Would need more information to determine,,"All sleeping units, Dining hall, Bathroom facilities, Assembly Building","Plumbed toilets in sleeping unit, Showers in sleeping unit",,"Winter, Spring, Summer, Fall",August only in summer,Yes,adult retreat facility. Sleeps 22,"Pool, Meadowland, Trails",Campfire space(s),60-80,"Access to water (lake, pond, river, stream, etc.)",we have a stream/creek on our property,,,Other amenities/resources,We are located at the base of the Foothills of the Wallowa Mtn. 10 minutes to trails,We have a large green house and garden program and we have access to a natural warms spring pool. We don't have a pool on site.,,Patty Lindsey patty@coveascensionschool.com,Campfire is not ADA accessible,Campsites only; no commercial kitchen; only access is 20-minute hiking trail or boat (service road locked),,,-117.8135487,45.298766,
Canyonview Camp,Executive Director Jim Krieg,Marion,www.canyonviewministries.org,Tim Houser,ODS Director,Cvadventureministry@gmail.com,971-239-1347,13000 Finlay Rd NE Silverton OR 97381,PO box 128,Yes,"Salem Keizer Public Schools, Salem Academy","11 Weeks, 11 Schools.",Yes,"Yes, we are at full capacity with a waiting list of schools","NO, we could have hosted additional schools","We have additional schools requesting ODS spots. Most schools want a time from May to June. That time frame is maxed for us and we've begun booking schools in April and in September, October.",,,,,,Yes,www.canyonviewministries.org/ods,"Common Core State Standards, Oregon Science Standards (Next Generation Science Standards)","Archery, Challenge Course, Fishing, Canoes, Kayaks, Nature Science, Physical Science, Outdoor Cooking, Zipline, Angling Science and Twilight Games.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,80,120,300,Yes,All of the above.,Negotiable,CCCA,"All sleeping units, Toilets, Showers, Dining hall, Campfire space(s)",Yes,,,"All sleeping units, Dining hall, Bathroom facilities","Plumbed toilets in separate bathroom facility, Plumbed toilets in sleeping unit, Showers in separate bathroom facility, Showers in sleeping unit",,"Spring, Fall",,Yes,,"Ropes course, Climbing wall, Forested areas, Trails",Campfire space(s),,"Access to water (lake, pond, river, stream, etc.)",Fishing lake plus a swimming/canoes/kayaks lake.,,,,,,,Tim Houser- cvadventureministry@gmail.com,,No evidence could be found that camp still exists or has been shut down.,"Candalaria Elementary School – Salem, Hallman Elementary School – Salem, Eyre Elementary School – Salem, Swegle Elementary School – Salem, Cummings Elementary School – Keizer, Harritt Elementary School – Salem, Myers Elementary School – Salem, Kalapuya Elementary School – Salem, Grant Community School – Salem, Cesar E Chavez Elementary School – Salem, Brush College Elementary School – Salem, Salem Academy – Salem",,-122.7992875,44.9670727,
